,fighter,birthday,height,weight,reach,stance
118,Andre-Ewell,1988-01-21,68.0,135.0,75.0,Southpaw
119,Miguel-Baeza,1992-08-23,74.0,170.0,74.0,Orthodox
120,Hector-Aldana,1988-08-17,71.0,170.0,72.0,Orthodox
121,Marvin-Vettori,1993-09-20,72.0,185.0,74.0,Southpaw
122,Andrew-Sanchez,1988-04-08,73.0,185.0,74.0,Orthodox
123,JJ-Aldrich,1992-09-29,65.0,125.0,67.0,Southpaw
124,Lauren-Mueller,1991-11-15,65.0,125.0,67.0,Orthodox
125,Israel-Adesanya,1989-07-22,76.0,185.0,80.0,Switch
126,Robert-Whittaker,1990-12-20,72.0,185.0,73.0,Orthodox
127,Dan-Hooker,1990-02-13,72.0,155.0,75.0,Switch
128,Al-Iaquinta,1987-04-30,70.0,155.0,70.0,Orthodox
129,Serghei-Spivac,1995-01-24,75.0,260.0,78.0,Orthodox
130,Tai-Tuivasa,1993-03-16,74.0,264.0,75.0,Southpaw
131,Dhiego-Lima,1989-01-31,74.0,170.0,75.0,Orthodox
132,Luke-Jumeau,1988-02-12,71.0,170.0,72.0,Orthodox
133,Yorgan-De-Castro,1986-12-19,72.0,250.0,74.0,Orthodox
134,Justin-Tafa,1993-12-13,72.0,264.0,74.0,Southpaw
135,Jake-Matthews,1994-08-19,71.0,170.0,73.0,Orthodox
136,Rostem-Akman,1991-12-19,70.0,170.0,72.0,Switch
137,Callan-Potter,1984-06-09,72.0,170.0,72.0,Orthodox
138,Maki-Pitolo,1990-11-24,70.0,170.0,75.0,Orthodox
139,Brad-Riddell,1991-09-30,67.0,155.0,71.0,Orthodox
140,Jamie-Mullarkey,1994-08-17,72.0,155.0,74.0,Orthodox
141,Megan-Anderson,1990-02-11,72.0,145.0,72.0,Orthodox
142,Zarah-Fairn,1986-12-12,68.0,145.0,72.0,
143,Ji-Yeon-Kim,1989-10-18,67.0,125.0,72.0,Orthodox
144,Nadia-Kassem,1995-11-15,65.0,125.0,66.0,Southpaw
145,Khalid-Taha,1992-02-15,65.0,135.0,69.0,Orthodox
146,Bruno-Silva,1990-03-16,64.0,135.0,65.0,Orthodox
147,Jared-Cannonier,1984-03-16,71.0,185.0,77.0,Switch
148,Jack-Hermansson,1988-06-10,73.0,185.0,77.0,Orthodox
149,Mark-Madsen,1984-09-23,68.0,155.0,72.0,Orthodox
150,Danilo-Belluardo,1994-07-21,72.0,155.0,74.0,Southpaw
151,Gilbert-Burns,1986-07-20,70.0,155.0,71.0,Orthodox
152,Gunnar-Nelson,1988-07-28,71.0,170.0,72.0,Switch
153,Ion-Cutelaba,1993-12-14,73.0,205.0,75.0,Southpaw
154,Khalil-Rountree-Jr.,1990-02-26,73.0,205.0,76.0,Southpaw
155,Ovince-Saint-Preux,1983-04-08,75.0,205.0,80.0,Southpaw
156,Michal-Oleksiejczuk,1995-02-22,72.0,205.0,74.0,Southpaw
157,Nicolas-Dalby,1984-11-16,71.0,170.0,74.0,Orthodox
158,Alex-Oliveira,1988-02-21,71.0,170.0,76.0,Orthodox
159,John-Phillips,1985-06-09,71.0,185.0,75.0,Southpaw
160,Alen-Amedovski,1988-04-06,70.0,185.0,74.0,Orthodox
161,Makhmud-Muradov,1990-02-08,74.0,185.0,75.0,Orthodox
162,Alessio-Di-Chirico,1989-12-12,72.0,185.0,74.0,Orthodox
163,Ismail-Naurdiev,1996-08-18,70.0,170.0,74.0,Orthodox
164,Siyar-Bahadurzada,1984-04-17,71.0,170.0,73.0,Orthodox
165,Giga-Chikadze,1988-08-25,72.0,145.0,74.0,Orthodox
166,Brandon-Davis,1990-05-08,70.0,135.0,72.0,Orthodox
167,Lina-Lansberg,1982-03-13,67.0,135.0,65.0,Orthodox
168,Macy-Chiasson,1991-07-27,71.0,135.0,72.0,
169,Marc-Diakiese,1993-03-16,70.0,155.0,73.0,Orthodox
170,Lando-Vannata,1992-03-14,69.0,155.0,71.0,Orthodox
171,Jack-Shore,1995-02-06,68.0,135.0,71.0,Orthodox
172,Nohelin-Hernandez,1994-03-01,70.0,135.0,71.0,Orthodox
173,Carla-Esparza,1987-10-10,61.0,115.0,63.0,
174,Alexa-Grasso,1993-08-09,65.0,115.0,66.0,Orthodox
175,Brandon-Moreno,1993-12-07,67.0,125.0,70.0,Orthodox
176,Askar-Askarov,1992-10-09,66.0,125.0,67.0,Orthodox
177,Irene-Aldana,1988-03-26,69.0,135.0,68.0,Orthodox
178,Vanessa-Melo,1988-03-27,65.0,135.0,65.0,Orthodox
179,Steven-Peterson,1990-05-29,70.0,145.0,70.0,Orthodox
180,Martin-Bravo,1993-09-21,68.0,145.0,71.0,Southpaw
181,Jose-Quinonez,1990-07-28,68.0,135.0,69.0,
182,Carlos-Huachin,1996-06-04,64.0,135.0,67.0,Southpaw
183,Kyle-Nelson,1991-04-20,71.0,155.0,71.0,Switch
184,Polo-Reyes,1984-11-07,71.0,155.0,71.0,
185,Angela-Hill,1985-01-12,63.0,115.0,64.0,Orthodox
186,Ariane-Carnelossi,1992-11-17,62.0,115.0,61.0,Orthodox
187,Sergio-Pettis,1993-08-18,66.0,125.0,69.0,Orthodox
188,Tyson-Nam,1983-10-06,67.0,125.0,68.0,Orthodox
189,Paul-Craig,1987-11-27,75.0,205.0,76.0,Orthodox
190,Vinicius-Moreira,1989-02-28,76.0,205.0,76.0,Orthodox
191,Bethe-Correia,1983-06-22,65.0,135.0,64.0,Orthodox
192,Sijara-Eubanks,1985-04-27,64.0,135.0,67.0,
193,Claudio-Puelles,1996-04-21,71.0,155.0,72.0,Southpaw
194,Marcos-Mariano,1986-10-12,73.0,155.0,76.0,Switch
195,Justin-Gaethje,1988-11-14,71.0,155.0,70.0,Orthodox
196,Donald-Cerrone,1983-03-29,73.0,155.0,73.0,Orthodox
197,Glover-Teixeira,1979-10-28,74.0,205.0,76.0,Orthodox
198,Nikita-Krylov,1992-03-07,75.0,205.0,77.0,Orthodox
199,Todd-Duffee,1985-12-06,75.0,260.0,78.0,Orthodox
200,Tristan-Connelly,1985-12-12,70.0,170.0,68.0,Orthodox
201,Michel-Pereira,1993-10-06,73.0,170.0,73.0,Orthodox
202,Uriah-Hall,1984-07-31,72.0,185.0,79.0,Orthodox
203,Antonio-Carlos-Junior,1990-03-16,74.0,185.0,79.0,Orthodox
204,Misha-Cirkunov,1987-02-27,75.0,205.0,77.0,Orthodox
205,Jimmy-Crute,1996-03-04,74.0,205.0,74.0,Orthodox
206,Augusto-Sakai,1991-05-09,75.0,265.0,77.0,Orthodox
207,Marcin-Tybura,1985-11-09,75.0,249.0,78.0,Orthodox
208,Miles-Johns,1994-03-30,67.0,135.0,66.0,Orthodox
209,Cole-Smith,1989-04-05,71.0,135.0,67.0,Orthodox
210,Hunter-Azure,1992-03-02,68.0,135.0,69.0,Orthodox
211,Brad-Katona,1991-12-19,66.0,135.0,64.0,Orthodox
212,Chas-Skelly,1985-05-11,71.0,145.0,72.0,Orthodox
213,Jordan-Griffin,1990-02-28,70.0,145.0,73.0,Southpaw
214,Louis-Smolka,1991-07-16,69.0,135.0,68.0,Orthodox
215,Ryan-MacDonald,1993-03-18,71.0,135.0,71.0,Switch
216,Austin-Hubbard,1991-12-22,70.0,155.0,71.0,Orthodox
217,Kyle-Prepolec,1989-08-30,70.0,170.0,70.0,Southpaw
218,Khabib-Nurmagomedov,1988-09-20,70.0,155.0,70.0,Orthodox
219,Dustin-Poirier,1989-01-19,69.0,155.0,72.0,Southpaw
220,Paul-Felder,1984-04-25,71.0,155.0,70.0,Orthodox
221,Edson-Barboza,1986-01-21,71.0,155.0,75.0,Orthodox
222,Islam-Makhachev,1991-10-27,70.0,155.0,70.0,Orthodox
223,Davi-Ramos,1986-11-05,66.0,155.0,70.0,Orthodox
224,Curtis-Blaydes,1991-02-18,76.0,265.0,80.0,Orthodox
225,Shamil-Abdurakhimov,1981-09-02,75.0,235.0,76.0,Orthodox
226,Diego-Ferreira,1985-01-18,69.0,155.0,74.0,Orthodox
227,Mairbek-Taisumov,1988-08-08,69.0,155.0,73.0,Orthodox
228,Joanne-Calderwood,1985-12-23,66.0,125.0,65.0,Orthodox
229,Andrea-Lee,1989-02-11,66.0,125.0,69.0,Orthodox
230,Zubaira-Tukhugov,1991-01-15,68.0,145.0,68.0,Orthodox
231,Lerone-Murphy,1991-07-22,69.0,145.0,73.0,Orthodox
232,Sarah-Moras,1988-04-30,67.0,135.0,67.0,
233,Liana-Jojua,1995-03-22,64.0,135.0,62.0,Orthodox
234,Ottman-Azaitar,1990-02-20,68.0,155.0,71.0,Switch
235,Teemu-Packalen,1987-05-22,73.0,155.0,75.0,Orthodox
236,Belal-Muhammad,1988-07-09,71.0,170.0,72.0,Orthodox
237,Takashi-Sato,1990-06-09,70.0,170.0,73.0,Southpaw
238,Nordine-Taleb,1981-06-10,73.0,170.0,74.0,Orthodox
239,Omari-Akhmedov,1987-10-12,72.0,185.0,73.0,Orthodox
240,Zak-Cummings,1984-08-02,72.0,185.0,75.0,Southpaw
241,Don-Madge,1990-11-12,72.0,155.0,72.0,Southpaw
242,Fares-Ziam,1997-03-21,73.0,155.0,75.0,Orthodox
243,Weili-Zhang,1989-08-13,64.0,115.0,63.0,Switch
244,Jessica-Andrade,1991-09-25,61.0,115.0,62.0,Orthodox
245,Jingliang-Li,1988-03-20,72.0,170.0,71.0,Orthodox
246,Elizeu-Zaleski-dos-Santos,1986-12-11,71.0,170.0,73.0,Orthodox
247,Kai-Kara-France,1993-03-26,64.0,125.0,69.0,Orthodox
248,Mark-De-La-Rosa,1994-08-31,66.0,135.0,65.0,Orthodox
249,Kenan-Song,1990-03-10,72.0,170.0,71.0,Orthodox
250,Derrick-Krantz,1988-01-13,70.0,170.0,72.0,Orthodox
251,Mizuki-Inoue,1994-08-19,63.0,125.0,65.0,Orthodox
252,Yanan-Wu,1996-04-18,68.0,125.0,66.0,Orthodox
253,Anthony-Hernandez,1993-10-18,72.0,185.0,75.0,Orthodox
254,Jun-Yong-Park,1991-02-27,70.0,185.0,73.0,Orthodox
255,Su-Mudaerji,1996-01-20,68.0,135.0,72.0,Southpaw
256,Andre-Soukhamthath,1988-10-23,69.0,135.0,70.0,Orthodox
257,Da-Un-Jung,1993-12-07,76.0,205.0,78.0,Orthodox
258,Damir-Ismagulov,1991-02-03,69.0,155.0,70.0,Orthodox
259,Thiago-Moises,1995-03-23,69.0,155.0,70.0,Orthodox
260,Heili-Alateng,1991-12-14,65.0,135.0,66.0,Orthodox
261,Danaa-Batgerel,1989-07-04,67.0,135.0,70.0,Orthodox
262,Karol-Rosa,1994-12-30,65.0,135.0,67.0,Orthodox
263,Lara-Procopio,1995-11-14,64.0,135.0,67.0,Orthodox
264,Stipe-Miocic,1982-08-19,76.0,240.0,80.0,Orthodox
265,Daniel-Cormier,1979-03-20,71.0,235.0,72.0,Orthodox
266,Anthony-Pettis,1987-01-27,70.0,170.0,72.0,Orthodox
267,Paulo-Costa,1991-04-21,73.0,185.0,72.0,
268,Yoel-Romero,1977-04-30,72.0,185.0,73.0,Southpaw
269,Sodiq-Yusuff,1993-05-19,69.0,145.0,71.0,Orthodox
270,Gabriel-Benitez,1988-06-15,68.0,145.0,71.0,Southpaw
271,Derek-Brunson,1984-01-04,73.0,185.0,77.0,Southpaw
272,Ian-Heinisch,1988-08-05,71.0,185.0,72.0,Orthodox
273,Khama-Worthy,1986-10-15,71.0,155.0,74.0,Orthodox
274,Devonte-Smith,1993-07-30,69.0,155.0,76.0,Orthodox
275,Cory-Sandhagen,1992-04-20,71.0,135.0,70.0,Switch
276,Raphael-Assuncao,1982-07-19,65.0,135.0,66.0,Orthodox
277,Drakkar-Klose,1988-03-09,69.0,155.0,70.0,Orthodox
278,Christos-Giagos,1990-01-23,70.0,155.0,71.0,Orthodox
279,Casey-Kenney,1991-03-20,67.0,135.0,68.0,Southpaw
280,Hannah-Cifers,1992-06-26,61.0,115.0,62.0,Orthodox
281,Jodie-Esquibel,1986-05-07,61.0,115.0,64.0,Orthodox
282,Kyung-Ho-Kang,1987-09-09,69.0,135.0,73.0,Orthodox
283,Sabina-Mazo,1997-03-25,67.0,125.0,70.0,Orthodox
284,Shana-Dobson,1989-03-30,66.0,125.0,69.0,
285,Valentina-Shevchenko,1988-03-07,65.0,125.0,66.0,Southpaw
286,Liz-Carmouche,1984-02-19,66.0,125.0,66.0,Orthodox
287,Mike-Perry,1991-09-15,70.0,170.0,71.0,Orthodox
288,Eduardo-Garagorri,1989-05-28,69.0,145.0,70.0,Orthodox
289,Humberto-Bandenay,1994-09-04,71.0,145.0,71.0,Southpaw
290,Volkan-Oezdemir,1989-09-19,74.0,205.0,75.0,Orthodox
291,Ilir-Latifi,1983-07-28,70.0,205.0,73.0,Orthodox
292,Rodolfo-Vieira,1989-09-25,72.0,185.0,73.0,Orthodox
293,Oskar-Piechota,1990-01-24,72.0,185.0,76.0,Southpaw
294,Bobby-Moffett,1990-06-01,70.0,145.0,73.0,Orthodox
295,Aleksei-Kunchenko,1984-05-02,68.0,170.0,70.0,Orthodox
296,Marina-Rodriguez,1987-04-29,66.0,115.0,65.0,Orthodox
297,Tecia-Torres,1989-08-16,61.0,115.0,60.0,Orthodox
298,Rogerio-Bontorin,1992-04-25,65.0,125.0,67.0,Orthodox
299,Raulian-Paiva,1995-10-17,68.0,125.0,69.0,Orthodox
300,Chris-Gutierrez,1991-04-22,69.0,135.0,67.0,Orthodox
301,Geraldo-de-Freitas,1991-09-30,67.0,135.0,72.0,Orthodox
302,Alex-Da-Silva,1996-02-04,68.0,155.0,73.0,Orthodox
303,Kazula-Vargas,1985-08-15,68.0,155.0,71.0,Southpaw
304,Veronica-Macedo,1995-10-30,64.0,125.0,64.0,Southpaw
305,Polyana-Viana,1992-06-14,65.0,115.0,67.0,Orthodox
306,Colby-Covington,1988-02-22,71.0,170.0,72.0,Orthodox
307,Robbie-Lawler,1982-03-20,71.0,170.0,74.0,Southpaw
308,Jim-Miller,1983-08-30,68.0,155.0,71.0,Southpaw
309,Clay-Guida,1981-12-08,67.0,155.0,70.0,Orthodox
310,Nasrat-Haqparast,1995-08-22,70.0,155.0,72.0,Southpaw
311,Joaquim-Silva,1989-02-05,68.0,155.0,69.0,Southpaw
312,Trevin-Giles,1992-08-06,72.0,185.0,74.0,Orthodox
313,Scott-Holtzman,1983-09-30,69.0,155.0,69.0,Orthodox
314,Dong-Hyun-Ma,1988-09-09,71.0,155.0,70.0,Orthodox
315,Kennedy-Nzechukwu,1992-06-13,77.0,205.0,83.0,Southpaw
316,Darko-Stosic,1992-02-09,72.0,205.0,76.0,Orthodox
317,Mickey-Gall,1992-01-22,74.0,170.0,74.0,Switch
318,Salim-Touahri,1989-09-28,70.0,170.0,72.0,Orthodox
319,Antonina-Shevchenko,1984-11-20,68.0,125.0,67.0,Southpaw
320,Lucie-Pudilova,1994-06-13,68.0,125.0,67.0,Orthodox
321,Matt-Schnell,1990-01-15,68.0,125.0,70.0,Orthodox
322,Jordan-Espinosa,1989-11-08,66.0,125.0,69.0,Orthodox
323,Lauren-Murphy,1983-07-27,65.0,125.0,67.0,Orthodox
324,Mara-Romero-Borella,1986-06-03,66.0,125.0,69.0,Orthodox
325,Claudio-Silva,1982-09-06,71.0,170.0,71.0,Southpaw
326,Cole-Williams,1983-12-15,72.0,170.0,73.0,Orthodox
327,Miranda-Granger,1992-04-13,67.0,125.0,68.0,Orthodox
328,Hannah-Goldy,1992-05-18,64.0,125.0,61.0,Orthodox
329,Max-Holloway,1991-12-04,71.0,145.0,69.0,Orthodox
330,Frankie-Edgar,1981-10-16,66.0,145.0,68.0,Orthodox
331,Cris-Cyborg,1985-07-09,68.0,145.0,68.0,Orthodox
332,Felicia-Spencer,1990-11-29,66.0,145.0,68.0,Orthodox
333,Geoff-Neal,1990-08-28,71.0,170.0,75.0,Southpaw
334,Arman-Tsarukyan,1996-10-11,67.0,155.0,72.0,Orthodox
335,Olivier-Aubin-Mercier,1989-02-23,69.0,155.0,70.0,Southpaw
336,Krzysztof-Jotko,1989-08-19,73.0,185.0,77.0,Southpaw
337,Marc-Andre-Barriault,1990-02-18,73.0,185.0,74.0,Orthodox
338,Viviane-Araujo,1986-11-21,64.0,125.0,68.0,Orthodox
339,Alexis-Davis,1984-10-04,66.0,125.0,68.0,Orthodox
340,Yoshinori-Horie,1995-05-10,68.0,145.0,70.0,Orthodox
341,Gavin-Tucker,1986-06-17,66.0,145.0,66.0,Southpaw
342,SeungWoo-Choi,1992-11-03,72.0,145.0,74.0,Orthodox
343,Alexandre-Pantoja,1990-04-16,65.0,125.0,67.0,Orthodox
344,Sarah-Frota,1987-04-14,66.0,125.0,69.0,Southpaw
345,Erik-Koch,1988-10-04,70.0,170.0,71.0,Southpaw
346,Kyle-Stewart,1989-01-31,72.0,170.0,76.0,Orthodox
347,Leon-Edwards,1991-08-25,74.0,170.0,74.0,Southpaw
348,Rafael-Dos-Anjos,1984-10-26,68.0,170.0,70.0,Southpaw
349,Walt-Harris,1983-06-10,77.0,250.0,77.0,Southpaw
350,Aleksei-Oleinik,1977-06-20,74.0,240.0,80.0,Orthodox
351,Juan-Adams,1992-01-16,77.0,265.0,80.0,Orthodox
352,Alexander-Hernandez,1992-10-01,69.0,155.0,72.0,Orthodox
353,Francisco-Trinaldo,1978-08-24,69.0,155.0,70.0,Southpaw
354,Ben-Rothwell,1981-10-17,76.0,265.0,78.0,Orthodox
355,Alex-Caceres,1988-06-20,70.0,145.0,73.0,Southpaw
356,Raquel-Pennington,1988-09-05,67.0,135.0,67.0,Orthodox
357,Sam-Alvey,1986-05-06,74.0,205.0,75.0,Southpaw
358,Roxanne-Modafferi,1982-09-24,67.0,125.0,69.0,
359,Ray-Borg,1993-08-04,64.0,135.0,63.0,Orthodox
360,Gabriel-Silva,1994-08-26,66.0,135.0,71.0,Orthodox
361,Mario-Bautista,1993-07-01,69.0,135.0,69.0,Switch
362,Jinsoo-Son,1993-04-01,66.0,135.0,69.0,Orthodox
363,Felipe-Colares,1994-03-31,68.0,135.0,69.0,Orthodox
364,Domingo-Pilarte,1990-01-05,72.0,135.0,73.0,Southpaw
365,Germaine-de-Randamie,1984-04-24,69.0,135.0,71.0,Orthodox
366,Aspen-Ladd,1995-03-01,66.0,135.0,66.0,Orthodox
367,Urijah-Faber,1979-05-14,66.0,135.0,67.0,Orthodox
368,Ricky-Simon,1992-08-31,66.0,135.0,69.0,Orthodox
369,Josh-Emmett,1985-03-04,66.0,145.0,70.0,Orthodox
370,Mirsad-Bektic,1991-02-16,68.0,145.0,70.0,Orthodox
371,Wellington-Turman,1996-07-22,72.0,185.0,72.0,Orthodox
372,Cezar-Ferreira,1985-02-15,73.0,185.0,78.0,Southpaw
373,Mike-Rodriguez,1988-11-28,76.0,205.0,82.0,Southpaw
374,John-Allan,1993-02-22,75.0,205.0,75.0,Orthodox
375,Andre-Fili,1990-06-25,71.0,145.0,74.0,Orthodox
376,Sheymon-Moraes,1990-10-11,68.0,145.0,72.0,Orthodox
377,Julianna-Pena,1989-08-19,66.0,135.0,69.0,
378,Nicco-Montano,1988-12-16,65.0,135.0,65.0,Southpaw
