,,COUNTRY,DOB,HT/WT,NICKNAME,REACH,STANCE,TEAM,WEIGHT,WT CLASS
randy-couture,,USA,6/22/1963,,The Natural,"75""",Orthodox,Xtreme Couture,,Heavyweight
justin-eilers,,USA,6/28/1978,,,,Orthodox,,,
brandon-vera,,USA,10/10/1977 (42),"6' 2"", 265 lbs",The Truth,"76""",Orthodox,Alliance MMA,,Heavyweight
frank-mir,,USA,5/24/1979 (40),"6' 3"", 260 lbs",,"79""",Southpaw,Frank Mir Gym,,Heavyweight
mike-van-arsdale,,USA,6/20/1965,,,,Switch,,,Light Heavyweight
renato-sobral,,Brazil,7/9/1975,,Babalu,"75.5""",Orthodox,Reign MMA,,Light Heavyweight
nick-diaz,,USA,8/2/1983,,,"76""",Southpaw,Cesar Gracie Jiu-Jitsu,,Middleweight
joe-riggs,,USA,9/23/1982 (37),"6' 0"", 185 lbs",Diesel,"70""",Southpaw,MMA LAB,,Middleweight
alessio-sakara,,Italy,9/2/1981 (38),"6' 0"", 205 lbs",Legionarius,"72""",Orthodox,American Top Team,,Middleweight
elvis-sinosic,,Australia,2/13/1971,,The King of Rock n Rumble,"77.5""",Orthodox,,,Middleweight
gilbert-aldana,,USA,8/28/1977,,El Peligro,,Orthodox,,,Heavyweight
paul-buentello,,USA,1/16/1974 (45),"6' 3"", 205 lbs",The Headhunter,"77""",Orthodox,Grudge Training Center,,Heavyweight
branden-lee-hinkle,,,,,,,Orthodox,,,Middleweight
jeff-monson,,USA,1/18/1971 (48),"5' 9"", 240 lbs",The Snowman,"74""",Orthodox,American Top Team,,Heavyweight
mike-whitehead,,,6/29/1981 (38),"6' 1"", 261 lbs",Iron,,Orthodox,Xtreme Couture,,Heavyweight
rich-franklin,,USA,10/5/1974,,Ace,"76""",Southpaw,,,Middleweight
david-loiseau,,Canada,12/17/1979,,The Crow,"76.5""",Orthodox,TriStar Gym,,Middleweight
steve-vigneault,,,,,Lion,,Orthodox,,,Welterweight
mike-swick,,USA,6/19/1979,,Quick,"77""",Orthodox,AKA (American Kickboxing Academy),,Middleweight
bj-penn,,USA,12/13/1978 (40),"5' 9"", 155 lbs",The Prodigy,"70""",Orthodox,BJ Penn MMA,,Lightweight
georges-st-pierre,,Canada,5/19/1981 (38),"5' 11"", 185 lbs",Rush,"76""",Orthodox,TriStar Gym,,Welterweight
joe-doerksen,,Canada,9/10/1977,,El Dirte,"75""",Orthodox,,,Welterweight
nate-marquardt,,USA,4/20/1979 (40),"6' 0"", 185 lbs",The Great,"74""",Orthodox,High Altitude Martial Arts,,Middleweight
mark-hominick,,Canada,7/22/1982,,The Machine,"68""",Orthodox,Team Tompkins,,Featherweight
yves-edwards,,BAHAMAS,9/30/1976,,Thugjitsu Master,"73""",Southpaw,American Top Team,,Lightweight
sam-stout,,Canada,4/23/1984,,Hands of Stone,"70""",Orthodox,Team Tompkins,,Lightweight
jason-lambert,,USA,9/23/1977,,The Punisher,"75""",Orthodox,Alliance MMA,,Heavyweight
rob-macdonald,,,,,,"78.5""",Orthodox,,,
icho-larenas,,,,,,,Orthodox,,,Heavyweight
tom-murphy,,USA,11/19/1974,,,,Southpaw,TriStar Gym,,
sam-hoger,,USA,6/28/1980,,Alaskan Assassin,,Orthodox,,,Light Heavyweight
rashad-evans,,USA,9/25/1979 (40),"5' 11"", 205 lbs",Suga,"75""",Orthodox,Blackzilians,,Light Heavyweight
joe-stevenson,,USA,6/15/1982 (37),"5' 7"", 155 lbs",Daddy,"70""",Orthodox,Joe Stevenson's Cobra Kai,,Lightweight
luigi-fioravanti,,USA,1/22/1981 (38),"5' 9"", 185 lbs",The Italian Tank,"70.5""",Orthodox,Flawless MMA,,
luke-cummo,,USA,4/27/1980,,,"74.5""",Orthodox,,,Welterweight
jon-fitch,,USA,2/24/1978 (41),"6' 0"", 170 lbs",,"74""",Orthodox,AKA (American Kickboxing Academy),,Welterweight
brad-imes,,USA,3/16/1977,,The Hillbilly Heartthrob,,Orthodox,,,Heavyweight
dan-christison,,USA,4/26/1972,,The Sandman,,Orthodox,,,
ansar-chalangov,,,,,,,Orthodox,,,Welterweight
josh-koscheck,,USA,11/30/1977 (41),"5' 10"", 170 lbs",Kos,"73""",Orthodox,AKA (American Kickboxing Academy),,Welterweight
trevor-prangley,,South Africa,8/24/1972,,,"75""",Orthodox,AKA (American Kickboxing Academy),,
chael-sonnen,,USA,4/3/1977 (42),"6' 1"", 205 lbs",,"74""",Southpaw,Gracie Barra Portland,,Middleweight
sean-sherk,,USA,8/5/1973,,The Muscle Shark,"67""",Orthodox,Minnesota Martial Arts Academy,,Lightweight
justin-levens,,,,,,,Orthodox,,,
evan-tanner,,USA,2/11/1971,,,"74""",Orthodox,,,Heavyweight
karo-parisyan,,USA,8/28/1982,,The Heat,"72""",Orthodox,,,Welterweight
nick-thompson,,,6/23/1981,,The Goat,"74""",Orthodox,,,
scott-smith,,USA,5/21/1979 (40),"6' 0"", 185 lbs",Hands of Steel,"70""",Orthodox,Capital City Fighting Alliance,,Middleweight
david-terrell,,USA,1/9/1978,,The Soul Assassin,,Southpaw,,,Middleweight
terry-martin,,,10/10/1980,,,"71""",Orthodox,,,
derrick-noble,,USA,8/14/1978,,The Eraser,,Southpaw,,,
royce-gracie,,Brazil,12/12/1966 (52),"6' 1"", 180 lbs",,,Southpaw,Gracie Humaita,,Open Weight
matt-hughes,,USA,10/13/1973,,,"73""",Switch,Finney's HIT Squad,,Welterweight
dean-lister,,USA,2/13/1976,,The Boogeyman,"75""",Orthodox,,,Middleweight
john-alessio,,Canada,7/5/1979,,The Natural,"72.5""",Orthodox,Xtreme Couture,,
diego-sanchez,,USA,12/31/1981 (37),"5' 10"", 170 lbs",The Nightmare,"72""",Southpaw,Jackson-Wink MMA,,Welterweight
jeremy-horn,,,,,,,,,,
matt-wiman,,USA,9/19/1983 (36),"5' 10"", 155 lbs",Handsome,"68""",Orthodox,Skrap Pack,,Lightweight
fabiano-scherner,,,6/30/1972,,Pega-Leve,,Orthodox,,,Heavyweight
rick-davis,,,,,,,Orthodox,,,Lightweight
kenny-florian,,USA,5/26/1976,,KenFlo,"74""",Southpaw,Florian Martial Arts Center,,Lightweight
josh-haynes,,,,,Bring the Pain,,Orthodox,,,Light Heavyweight
kendall-grove,,USA,12/11/1982 (36),"6' 6"", 185 lbs",Da Spyder,"79""",Orthodox,,,Middleweight
ed-herman,,USA,10/2/1980 (39),"6' 1"", 205 lbs",Short Fuse,"77""",Orthodox,Trials MMA and Fitness,,Light Heavyweight
wilson-gouveia,,,3/10/1978,,,"76""",Orthodox,American Top Team,,Light Heavyweight
ross-pointon,,,,,The Gladiator,,Orthodox,,,
danny-abbadi,,,,,,,Orthodox,Chute Boxe,,Middleweight
kalib-starnes,,Canada,1/6/1975 (44),"6' 3"", 220 lbs",,"74""",Orthodox,,,
solomon-hutcherson,,USA,8/13/1972,,King,,Southpaw,,,
matt-hamill,,USA,10/5/1976 (43),"6' 1"", 205 lbs",The Hammer,"76""",Orthodox,,,Light Heavyweight
jesse-forbes,,,10/24/1984,,Kid Hercules,"75""",Southpaw,,,Light Heavyweight
wes-combs,,,6/18/1973,,Soldier,,Orthodox,,,
mike-nickels,,USA,,,,,Orthodox,,,Light Heavyweight
anderson-silva,,Brazil,4/14/1975 (44),"6' 2"", 185 lbs",The Spider,"77""",Southpaw,Team Nogueira,,Middleweight
jorge-gurgel,,Brazil,1/25/1977,,J.G.,"69""",Orthodox,Team Jorge Gurgel,,Lightweight
kristian-rothaermel,,,,,,,Open Stance,,,Light Heavyweight
dave-menne,,,7/29/1974,,The Warrior,,Orthodox,,,Welterweight
jorge-santiago,,Brazil,10/9/1980,,,"74""",Orthodox,Blackzilians,,Welterweight
ken-shamrock,,USA,2/11/1964 (55),"6' 1"", 212 lbs",The World's Most Dangerous Man,"72.5""",Orthodox,Lion's Den,,Light Heavyweight
joe-jordan,,,7/27/1978,,Porkchop,,Orthodox,,,Lightweight
hermes-franca,,,8/27/1974,,,"71""",Orthodox,,,Featherweight
cheick-kongo,,France,5/17/1975 (44),"6' 4"", 265 lbs",,"82""",Orthodox,Wolfslair Academy,,Heavyweight
kurt-pellegrino,,USA,5/7/1979,,Batman,"70.5""",Orthodox,,,Lightweight
yuki-sasaki,,,,,,,Orthodox,,,Welterweight
martin-kampmann,,Denmark,4/17/1982,,Hitman,"72""",Orthodox,Xtreme Couture,,Middleweight
crafton-wallace,,,,,,,Orthodox,,,Welterweight
kristof-midoux,,France,,,The French Hurricane,,Orthodox,,,Middleweight
jake-obrien,,USA,9/25/1984,,,"76.5""",Orthodox,,,Heavyweight
forrest-petz,,USA,9/22/1975,,The Meat Cleaver,"71.5""",Orthodox,,,Lightweight
sammy-morgan,,USA,9/28/1981,,The Squeeze,,Orthodox,,,Lightweight
pat-healy,,USA,7/20/1983 (36),"6' 0"", 145 lbs",Bam Bam,"74""",Orthodox,Sports Lab,,Lightweight
anthony-torres,,,,,,,Orthodox,,,Welterweight
jamie-varner,,USA,10/12/1984,,,"71.5""",Orthodox,Arizona Combat Sports,,Lightweight
david-heath,,USA,10/2/1976,,,"72.5""",Orthodox,,,Light Heavyweight
cory-walmsley,,,,,,,Orthodox,,,Light Heavyweight
alan-belcher,,,,,,,,,,
gabe-ruediger,,,,,,,,,,
joe-lauzon,,,,,,,,,,
jens-pulver,,,,,,,,,,
roger-huerta,,,,,,,,,,
jason-dent,,,,,,,,,,
eddie-sanchez,,,,,,,,,,
mario-neto,,,,,,,,,,
tyson-griffin,,,,,,,,,,
david-lee,,,,,,,,,,
chris-price,,,,,,,,,,
seth-petruzelli,,,,,,,,,,
dustin-hazelett,,,,,,,,,,
marcus-davis,,,,,,,,,,
kuniyoshi-hironaka,,,,,,,,,,
dan-lauzon,,,,,,,,,,
clay-guida,,,,,,,,,,
justin-james,,,,,,,,,,
junior-assuncao,,,,,,,,,,
chris-lytle,,,,,,,,,,
matt-serra,,,,,,,,,,
patrick-cote,,,,,,,,,,
travis-lutter,,,,,,,,,,
rich-clementi,,,,,,,,,,
din-thomas,,,,,,,,,,
edwin-dewees,,,,,,,,,,
jeremy-jackson,,,,,,,,,,
pete-spratt,,,,,,,,,,
pete-sell,,,,,,,,,,
gideon-ray,,,,,,,,,,
charles-mccarthy,,,,,,,,,,
thales-leites,,,,,,,,,,
drew-mcfedries,,,,,,,,,,
dokonjonosuke-mishima,,,,,,,,,,
gleison-tibau,,,,,,,,,,
antoni-hardonk,,,,,,,,,,
sherman-pendergarst,,,,,,,,,,
hector-ramirez,,,,,,,,,,
josh-shockman,,,,,,,,,,
jeff-joslin,,,,,,,,,,
shonie-carter,,,,,,,,,,
victor-valimaki,,,,,,,,,,
brock-larson,,,,,,,,,,
keita-nakamura,,,,,,,,,,
steve-byrnes,,,,,,,,,,
logan-clark,,,,,,,,,,
wanderlei-silva,,,,,,,,,,
soa-palelei,,,,,,,,,,
lyoto-machida,,,,,,,,,,
rameau-thierry-sokoudjou,,,,,,,,,,
luiz-cane,,,,,,,,,,
manvel-gamburyan,,,,,,,,,,
nate-mohr,,,,,,,,,,
jordan-radev,,,,,,,,,,
roan-carneiro,,,,,,,,,,
mark-bocek,,,,,,,,,,
doug-evans,,,,,,,,,,
sean-salmon,,,,,,,,,,
heath-herring,,,,,,,,,,
chad-reiner,,,,,,,,,,
mirko-filipovic,,,,,,,,,,
john-halverson,,,,,,,,,,
quinton-jackson,,,,,,,,,,
marvin-eastman,,,,,,,,,,
frankie-edgar,,,,,,,,,,
diego-saraiva,,,,,,,,,,
rex-holman,,,,,,,,,,
jason-gilliam,,,,,,,,,,
justin-mccully,,,,,,,,,,
thiago-tavares,,,,,,,,,,
naoyuki-kotani,,,,,,,,,,
leonard-garcia,,,,,,,,,,
fabricio-werdum,,,,,,,,,,
matt-grice,,,,,,,,,,
terry-etim,,,,,,,,,,
jess-liaudin,,,,,,,,,,
dennis-siver,,,,,,,,,,
edilberto-de-oliveira,,,,,,,Orthodox,,170 lbs,Welterweight
paul-taylor,,England,12/15/1979,,Relentless,"72""",Orthodox,Team Supreme,,Welterweight
ivan-salaverry,,Canada,1/11/1971,,,,Orthodox,AMC Pankration,,Middleweight
houston-alexander,,,3/22/1972 (47),"6' 0"", 205 lbs",The Assassin,"72""",Orthodox,Grudge Training Center,,
thiago-silva,,Brazil,11/12/1982 (36),"6' 1"", 205 lbs",,"74""",Orthodox,Blackzilians,,Heavyweight
jeremy-stephens,,USA,5/26/1986 (33),"5' 9"", 145 lbs",Lil' Heathen,"71""",Orthodox,Alliance MMA,,Featherweight
jason-black,,USA,8/15/1972,,The Black Legion,,Orthodox,,,Welterweight
tamdan-mccrory,,USA,11/5/1986 (32),"6' 4"", 185 lbs",The Barn Cat,"78""",Switch,,,Middleweight
jeff-cox,,,12/31/1969,,,,Orthodox,,,Welterweight
anthony-johnson,,USA,3/6/1984 (35),"6' 2"", 205 lbs",Rumble,"78""",Orthodox,Blackzilians,,Welterweight
luke-caudillo,,,,,,,,,,
jason-tan,,,,,,,Orthodox,,,
colin-robinson,,,11/27/1968,,Big C,,Orthodox,,,Heavyweight
stevie-lynch,,,,,,,Orthodox,,,Welterweight
nate-diaz,,USA,4/16/1985 (34),"6' 0"", 170 lbs",,"76""",Southpaw,Cesar Gracie Jiu-Jitsu,,Lightweight
floyd-sword,,,,,,,Orthodox,,,Middleweight
brandon-melendez,,,3/24/1983,,The Murderer,,Southpaw,,,Welterweight
cole-miller,,USA,4/28/1984 (35),"6' 1"", 145 lbs",Magrinho,"74""",Orthodox,American Top Team,,Featherweight
andy-wang,,,,,,,Orthodox,,,Lightweight
rob-emerson,,,,,,,,,,
gray-maynard,,USA,5/9/1979 (40),"5' 9"", 155 lbs",The Bully,"70""",Orthodox,AKA (American Kickboxing Academy),,Featherweight
allen-berube,,,,,,,Orthodox,,,Lightweight
brian-geraghty,,,,,,,Orthodox,,,
antonio-rodrigo-nogueira,,Brazil,6/2/1976,,Minotauro,"77""",Orthodox,Team Nogueira,,Heavyweight
alvin-robinson,,USA,7/16/1982,,Kid,"68""",Southpaw,,,
alberto-crane,,,7/14/1976,,,,Orthodox,,,Featherweight
ryan-jensen,,USA,9/20/1977,,,"76""",Orthodox,Jackson-Wink MMA,,Middleweight
marcus-aurelio,,Brazil,8/18/1973,,Maximus,"74""",Orthodox,,,Lightweight
dan-henderson,,USA,8/24/1970 (49),"5' 11"", 185 lbs",Hendo,"74""",Orthodox,Team Quest -Portland,,Open Weight
tomasz-drwal,,Poland,1/22/1982,,Gorilla,"76""",Orthodox,Alliance MMA,,
nate-quarry,,USA,3/18/1972,,Rock,"72.5""",Open Stance,Team Quest -Portland,,Middleweight
joe-veres,,,11/9/1977,,,,Orthodox,,,Lightweight
mauricio-rua,,Brazil,11/25/1981 (37),"6' 1"", 205 lbs",Shogun,"76""",Orthodox,Universidade da luta,,Light Heavyweight
kazuhiro-nakamura,,Japan,7/16/1979,,Kaz,"70""",Orthodox,Yoshida Dojo,,Middleweight
scott-junk,,,,,,,Orthodox,,,
michihiro-omigawa,,Japan,12/19/1975 (43),"5' 6"", 145 lbs",,"68""",Orthodox,Yoshida Dojo,,Lightweight
demian-maia,,Brazil,11/6/1977 (41),"6' 1"", 170 lbs",,"72""",Southpaw,Demian Maia Jiu-Jitsu,,Welterweight
ryo-chonan,,,10/8/1976,,Piranha,"70""",Orthodox,,,Middleweight
jason-reinhardt,,USA,,,,,Orthodox,,,Featherweight
akihiro-gono,,Japan,10/7/1974 (45),"5' 9"", 170 lbs",,"68""",Switch,,,Welterweight
mac-danzig,,USA,1/2/1980,,,"70""",Orthodox,PKG,,Lightweight
tommy-speer,,USA,8/20/1984,,,,,,,Welterweight
war-machine,,USA,11/30/1981,,,,Orthodox,,,
jared-rollins,,USA,1/26/1977,,J-Roc,,Orthodox,,,Welterweight
billy-miles,,,,,,,Orthodox,,,Welterweight
george-sotiropoulos,,Australia,9/7/1977,,,"71""",Orthodox,American Top Team,,Welterweight
ben-saunders,,USA,4/13/1983 (36),"6' 2"", 170 lbs",Killa B,"77.5""",Orthodox,American Top Team,,Welterweight
dan-barrera,,,12/23/1980,,The Fireman,,Orthodox,,,Welterweight
richie-hightower,,,,,,,Orthodox,,,Light Heavyweight
troy-mandaloniz,,,1/2/1980,,Rude Boy,,Orthodox,,,Welterweight
matt-arroyo,,USA,1/9/1982,,No Regard,"72.5""",Orthodox,,,Welterweight
john-kolosci,,USA,11/26/1974,,,,Orthodox,,,Welterweight
roman-mitichyan,,,,,,,Orthodox,,,Welterweight
dorian-price,,,,,,,Southpaw,,,Welterweight
paul-georgieff,,USA,9/22/1982,,,,Orthodox,,,
cb-dollaway,,USA,8/10/1983 (36),"6' 2"", 185 lbs",The Doberman,"76""",Orthodox,Power MMA Team,,Middleweight
mike-massenzio,,USA,11/1/1982,,The Master of Disaster,"73.5""",Southpaw,Team BombSquad,,Middleweight
mostapha-al-turk,,England,7/14/1973,,,"77.5""",Orthodox,,,Heavyweight
mike-wessel,,USA,12/2/1977,,,,Orthodox,,,Heavyweight
reese-andy,,USA,3/31/1973,,Riptide,,Orthodox,,,Light Heavyweight
brad-blackburn,,USA,,,Bad Brad,"73""",Orthodox,,,
pat-barry,,USA,7/7/1979,,HD,"74.5""",Orthodox,Team DeathClutch,,Heavyweight
dan-evensen,,,6/1/1974,,,,Orthodox,,,
paul-kelly,,England,9/12/1984,,Tellys,"70""",Orthodox,,,Welterweight
james-lee,,USA,9/22/1973,,,,Southpaw,,,Middleweight
per-eklund,,Sweden,,,,"72""",Orthodox,,,
corey-hill,,USA,10/3/1978,,,"80""",Orthodox,,,Lightweight
justin-buchholz,,USA,8/22/1983 (36),"5' 11"", 155 lbs",,"73""",Orthodox,Team Alpha Male,,
brock-lesnar,,USA,7/12/1977 (42),"6' 3"", 265 lbs",,"81""",Orthodox,Team DeathClutch,,Heavyweight
ricardo-almeida,,USA,11/29/1976,,Cachorrao,"74""",Orthodox,Ricardo Almeida Jiu-Jitsu,,Open Weight
rob-yundt,,,5/5/1980,,,,Orthodox,,,Middleweight
kyle-bradley,,USA,8/19/1982,,,"71""",Orthodox,,,Lightweight
tim-boetsch,,USA,1/28/1981 (38),"6' 0"", 185 lbs",The Barbarian,"74""",Orthodox,Team Irish,,Middleweight
chris-wilson,,USA,,,,"75""",Orthodox,,,
david-bielkheden,,Sweden,6/6/1979,,,"71""",Orthodox,,,Welterweight
ryan-roberts,,,,,,,,,,
samy-schiavo,,,12/24/1975,,The Dog,,Orthodox,,,
jason-day,,,,,Dooms,"72""",Orthodox,,,Light Heavyweight
brad-morris,,,,,,,Orthodox,,,
cain-velasquez,,USA,7/28/1982 (37),"6' 1"", 248 lbs",,"77""",Orthodox,AKA (American Kickboxing Academy),,Heavyweight
goran-reljic,,,,,,,,,,
antonio-mendes,,,4/19/1981,,Samuray,"77""",Southpaw,,,
rousimar-palhares,,Brazil,2/20/1980 (39),"5' 8"", 170 lbs",Toquinho,"71""",Orthodox,Brazilian Top Team,,Welterweight
yoshiyuki-yoshida,,,5/10/1974,,Zenko,"70""",Southpaw,,,
dong-hyun-kim,,Korea,11/17/1981 (37),"6' 2"", 170 lbs",Stun Gun,"76""",Southpaw,Busan Team M.A.D.,,Welterweight
shane-carwin,,USA,1/4/1975,,,"80""",Orthodox,Grudge Training Center,,Heavyweight
kevin-burns,,,,,The Fire,"74""",Orthodox,,,
amir-sadollah,,USA,8/27/1980,,,"75""",Orthodox,Xtreme Couture,,Middleweight
matthew-riddle,,USA,1/14/1986,,Deep Waters,"76""",Southpaw,Throwdown,,Middleweight
dante-rivera,,USA,12/8/1974,,,,Southpaw,Renzo Gracie Jiu-Jitsu,,
matt-brown,,USA,1/10/1981 (38),"6' 0"", 170 lbs",The Immortal,"75""",Orthodox,Elevation Fight Team,,Welterweight
rob-kimmons,,,,,,,,,,
jesse-taylor,,,,,,,,,,
tim-credeur,,USA,7/9/1977,,Crazy,"75""",Orthodox,Gladiators Training Academy,,Middleweight
cale-yarbrough,,,,,,,Orthodox,,,Middleweight
brodie-farber,,,,,,,Orthodox,,,Welterweight
rory-markham,,,,,,,,,,
nate-loughran,,USA,,,,,Orthodox,Nor-Cal Fighting Alliance,,Middleweight
johnny-rees,,,,,,,Orthodox,,,Middleweight
james-giboo,,,,,,,Orthodox,,,
shannon-gugerty,,USA,12/30/1981,,,"71""",Orthodox,,,Lightweight
dale-hartt,,USA,,,,"69""",Orthodox,,,Lightweight
andre-gusmao,,,,,,,Orthodox,,,Light Heavyweight
jon-jones,,USA,7/19/1987 (32),"6' 4"", 205 lbs",Bones,"84.5""",Orthodox,Jackson-Wink MMA,,Light Heavyweight
steve-bruno,,USA,,,Hollywood,,Orthodox,American Top Team,,Lightweight
ryan-thomas,,USA,11/5/1984,,The Tank Engine,,Orthodox,,,Welterweight
michael-patt,,USA,,,,,Orthodox,,,Light Heavyweight
joe-vedepo,,USA,1/1/1983,,The Doctor,,Orthodox,,,
jason-brilz,,USA,7/7/1975,,The Hitman,"71.5""",Orthodox,,,Light Heavyweight
dan-miller,,USA,6/30/1981,,,"74""",Orthodox,Miller Brothers MMA,,Middleweight
dan-hardy,,England,5/17/1982,,The Outlaw,"74""",Orthodox,Team Rough House,,Welterweight
jim-miller,,USA,8/30/1983 (36),"5' 8"", 155 lbs",A-10,"71""",Southpaw,Miller Brothers MMA,,Lightweight
david-baron,,,2/15/1973,,,,Switch,,,Welterweight
neil-wain,,England,,,Old Skool,,Orthodox,,,
junior-dos-santos,,Brazil,1/30/1984 (35),"6' 4"", 246 lbs",Cigano,"77""",Orthodox,American Top Team,,Heavyweight
matt-horwich,,USA,2/10/1978 (41),"5' 11"", 185 lbs",Suave,,Orthodox,,,Welterweight
josh-hendricks,,,8/28/1976,,Heavy,,Southpaw,,,
rafael-dos-anjos,,Brazil,10/26/1984 (34),"5' 8"", 170 lbs",,"70""",Southpaw,Evolve MMA,,Welterweight
razak-al-hassan,,Ghana,4/14/1983,,Razor,,Orthodox,,,
steve-cantwell,,USA,12/8/1986,,The Robot,"75""",Orthodox,One Kick's MMA,,Light Heavyweight
brandon-wolff,,USA,,,,,Orthodox,,,Middleweight
efrain-escudero,,Mexico,1/15/1986 (33),"5' 9"", 155 lbs",Hecho en Mexico,"70""",Orthodox,MMA LAB,,Lightweight
phillipe-nover,,USA,2/3/1984 (35),"5' 9"", 145 lbs",The Filipino Assassin,"72""",Orthodox,,,Featherweight
ryan-bader,,USA,6/7/1983 (36),"6' 2"", 230 lbs",Darth,"74""",Orthodox,Power MMA Team,,Light Heavyweight
vinny-magalhaes,,Brazil,7/2/1984 (35),"6' 3"", 205 lbs",Pezao,,,Syndicate MMA,,Light Heavyweight
david-kaplan,,USA,11/16/1979,,Diamond,,Orthodox,,,Lightweight
junie-browning,,USA,5/12/1985,,Lunatik,,Orthodox,,,Lightweight
shane-primm,,,,,,,Orthodox,,,Light Heavyweight
krzysztof-soszynski,,Poland,8/22/1977,,The Polish Experiment,"77.5""",Open Stance,Reign MMA,,Light Heavyweight
jules-bruchez,,,,,,,Southpaw,,,Light Heavyweight
eliot-marshall,,USA,7/7/1980,,The Fire,"77""",Orthodox,,,Light Heavyweight
kyle-kingsbury,,USA,3/22/1982,,Kingsbu,"79""",Orthodox,AKA (American Kickboxing Academy),,Light Heavyweight
tom-lawlor,,USA,5/15/1983 (36),"6' 0"", 205 lbs",Filthy,"74""",Southpaw,Jungle MMA,,Light Heavyweight
george-roop,,USA,11/10/1981 (37),"6' 1"", 135 lbs",,"72""",Orthodox,APEX MMA,,Featherweight
shane-nelson,,,,,,"70""",Southpaw,,,Lightweight
rolando-delgado,,USA,11/22/1981,,Roli,"77""",Orthodox,,,Lightweight
john-polakowski,,,,,,,Orthodox,,,Lightweight
mike-pierce,,USA,9/1/1980 (39),"5' 8"", 170 lbs",,"71""",Orthodox,Sports Lab,,Welterweight
stefan-struve,,Netherlands,2/18/1988 (31),"6' 11"", 263 lbs",Skyscraper,"84.5""",Orthodox,Team Schrijber,,Heavyweight
