,fighter,birthday,height,weight,reach,stance
27,Lauren-Mueller,1991-11-15,65.0,125.0,67.0,Orthodox
28,Israel-Adesanya,1989-07-22,76.0,185.0,80.0,Switch
29,Robert-Whittaker,1990-12-20,72.0,185.0,73.0,Orthodox
30,Dan-Hooker,1990-02-13,72.0,155.0,75.0,Switch
31,Al-Iaquinta,1987-04-30,70.0,155.0,70.0,Orthodox
32,Serghei-Spivac,1995-01-24,75.0,260.0,78.0,Orthodox
33,Tai-Tuivasa,1993-03-16,74.0,264.0,75.0,Southpaw
34,Dhiego-Lima,1989-01-31,74.0,170.0,75.0,Orthodox
35,Luke-Jumeau,1988-02-12,71.0,170.0,72.0,Orthodox
36,Yorgan-De-Castro,1986-12-19,72.0,250.0,74.0,Orthodox
37,Justin-Tafa,1993-12-13,72.0,264.0,74.0,Southpaw
38,Jake-Matthews,1994-08-19,71.0,170.0,73.0,Orthodox
39,Rostem-Akman,1991-12-19,70.0,170.0,72.0,Switch
40,Callan-Potter,1984-06-09,72.0,170.0,72.0,Orthodox
41,Maki-Pitolo,1990-11-24,70.0,170.0,75.0,Orthodox
42,Brad-Riddell,1991-09-30,67.0,155.0,71.0,Orthodox
43,Jamie-Mullarkey,1994-08-17,72.0,155.0,74.0,Orthodox
44,Megan-Anderson,1990-02-11,72.0,145.0,72.0,Orthodox
45,Zarah-Fairn,1986-12-12,68.0,145.0,72.0,
46,Ji-Yeon-Kim,1989-10-18,67.0,125.0,72.0,Orthodox
47,Nadia-Kassem,1995-11-15,65.0,125.0,66.0,Southpaw
48,Khalid-Taha,1992-02-15,65.0,135.0,69.0,Orthodox
49,Bruno-Silva,1990-03-16,64.0,135.0,65.0,Orthodox
50,Jared-Cannonier,1984-03-16,71.0,185.0,77.0,Switch
51,Jack-Hermansson,1988-06-10,73.0,185.0,77.0,Orthodox
52,Mark-Madsen,1984-09-23,68.0,155.0,72.0,Orthodox
53,Danilo-Belluardo,1994-07-21,72.0,155.0,74.0,Southpaw
54,Gilbert-Burns,1986-07-20,70.0,155.0,71.0,Orthodox
55,Gunnar-Nelson,1988-07-28,71.0,170.0,72.0,Switch
56,Ion-Cutelaba,1993-12-14,73.0,205.0,75.0,Southpaw
57,Khalil-Rountree-Jr.,1990-02-26,73.0,205.0,76.0,Southpaw
58,Ovince-Saint-Preux,1983-04-08,75.0,205.0,80.0,Southpaw
59,Michal-Oleksiejczuk,1995-02-22,72.0,205.0,74.0,Southpaw
60,Nicolas-Dalby,1984-11-16,71.0,170.0,74.0,Orthodox
61,Alex-Oliveira,1988-02-21,71.0,170.0,76.0,Orthodox
62,John-Phillips,1985-06-09,71.0,185.0,75.0,Southpaw
63,Alen-Amedovski,1988-04-06,70.0,185.0,74.0,Orthodox
64,Makhmud-Muradov,1990-02-08,74.0,185.0,75.0,Orthodox
65,Alessio-Di-Chirico,1989-12-12,72.0,185.0,74.0,Orthodox
66,Ismail-Naurdiev,1996-08-18,70.0,170.0,74.0,Orthodox
67,Siyar-Bahadurzada,1984-04-17,71.0,170.0,73.0,Orthodox
68,Giga-Chikadze,1988-08-25,72.0,145.0,74.0,Orthodox
69,Brandon-Davis,1990-05-08,70.0,135.0,72.0,Orthodox
70,Lina-Lansberg,1982-03-13,67.0,135.0,65.0,Orthodox
71,Macy-Chiasson,1991-07-27,71.0,135.0,72.0,
72,Marc-Diakiese,1993-03-16,70.0,155.0,73.0,Orthodox
73,Lando-Vannata,1992-03-14,69.0,155.0,71.0,Orthodox
74,Jack-Shore,1995-02-06,68.0,135.0,71.0,Orthodox
75,Nohelin-Hernandez,1994-03-01,70.0,135.0,71.0,Orthodox
76,Yair-Rodriguez,1992-10-06,71.0,145.0,71.0,Orthodox
77,Jeremy-Stephens,1986-05-25,69.0,145.0,71.0,Orthodox
78,Carla-Esparza,1987-10-10,61.0,115.0,63.0,
79,Alexa-Grasso,1993-08-09,65.0,115.0,66.0,Orthodox
80,Brandon-Moreno,1993-12-07,67.0,125.0,70.0,Orthodox
81,Askar-Askarov,1992-10-09,66.0,125.0,67.0,Orthodox
82,Irene-Aldana,1988-03-26,69.0,135.0,68.0,Orthodox
83,Vanessa-Melo,1988-03-27,65.0,135.0,65.0,Orthodox
84,Steven-Peterson,1990-05-29,70.0,145.0,70.0,Orthodox
85,Martin-Bravo,1993-09-21,68.0,145.0,71.0,Southpaw
86,Jose-Quinonez,1990-07-28,68.0,135.0,69.0,
87,Carlos-Huachin,1996-06-04,64.0,135.0,67.0,Southpaw
88,Kyle-Nelson,1991-04-20,71.0,155.0,71.0,Switch
89,Polo-Reyes,1984-11-07,71.0,155.0,71.0,
90,Angela-Hill,1985-01-12,63.0,115.0,64.0,Orthodox
91,Ariane-Carnelossi,1992-11-17,62.0,115.0,61.0,Orthodox
92,Sergio-Pettis,1993-08-18,66.0,125.0,69.0,Orthodox
93,Tyson-Nam,1983-10-06,67.0,125.0,68.0,Orthodox
94,Paul-Craig,1987-11-27,75.0,205.0,76.0,Orthodox
95,Vinicius-Moreira,1989-02-28,76.0,205.0,76.0,Orthodox
96,Bethe-Correia,1983-06-22,65.0,135.0,64.0,Orthodox
97,Sijara-Eubanks,1985-04-27,64.0,135.0,67.0,
98,Claudio-Puelles,1996-04-21,71.0,155.0,72.0,Southpaw
99,Marcos-Mariano,1986-10-12,73.0,155.0,76.0,Switch
100,Justin-Gaethje,1988-11-14,71.0,155.0,70.0,Orthodox
101,Donald-Cerrone,1983-03-29,73.0,155.0,73.0,Orthodox
102,Glover-Teixeira,1979-10-28,74.0,205.0,76.0,Orthodox
103,Nikita-Krylov,1992-03-07,75.0,205.0,77.0,Orthodox
104,Todd-Duffee,1985-12-06,75.0,260.0,78.0,Orthodox
105,Jeff-Hughes,1988-05-17,74.0,250.0,77.0,Orthodox
106,Tristan-Connelly,1985-12-12,70.0,170.0,68.0,Orthodox
107,Michel-Pereira,1993-10-06,73.0,170.0,73.0,Orthodox
108,Uriah-Hall,1984-07-31,72.0,185.0,79.0,Orthodox
109,Antonio-Carlos-Junior,1990-03-16,74.0,185.0,79.0,Orthodox
110,Misha-Cirkunov,1987-02-27,75.0,205.0,77.0,Orthodox
111,Jimmy-Crute,1996-03-04,74.0,205.0,74.0,Orthodox
112,Augusto-Sakai,1991-05-09,75.0,265.0,77.0,Orthodox
113,Marcin-Tybura,1985-11-09,75.0,249.0,78.0,Orthodox
114,Miles-Johns,1994-03-30,67.0,135.0,66.0,Orthodox
115,Cole-Smith,1989-04-05,71.0,135.0,67.0,Orthodox
116,Hunter-Azure,1992-03-02,68.0,135.0,69.0,Orthodox
117,Brad-Katona,1991-12-19,66.0,135.0,64.0,Orthodox
118,Chas-Skelly,1985-05-11,71.0,145.0,72.0,Orthodox
119,Jordan-Griffin,1990-02-28,70.0,145.0,73.0,Southpaw
120,Louis-Smolka,1991-07-16,69.0,135.0,68.0,Orthodox
121,Ryan-MacDonald,1993-03-18,71.0,135.0,71.0,Switch
122,Austin-Hubbard,1991-12-22,70.0,155.0,71.0,Orthodox
123,Kyle-Prepolec,1989-08-30,70.0,170.0,70.0,Southpaw
124,Khabib-Nurmagomedov,1988-09-20,70.0,155.0,70.0,Orthodox
125,Dustin-Poirier,1989-01-19,69.0,155.0,72.0,Southpaw
126,Paul-Felder,1984-04-25,71.0,155.0,70.0,Orthodox
127,Edson-Barboza,1986-01-21,71.0,155.0,75.0,Orthodox
128,Islam-Makhachev,1991-10-27,70.0,155.0,70.0,Orthodox
129,Davi-Ramos,1986-11-05,66.0,155.0,70.0,Orthodox
130,Curtis-Blaydes,1991-02-18,76.0,265.0,80.0,Orthodox
131,Shamil-Abdurakhimov,1981-09-02,75.0,235.0,76.0,Orthodox
132,Diego-Ferreira,1985-01-18,69.0,155.0,74.0,Orthodox
133,Mairbek-Taisumov,1988-08-08,69.0,155.0,73.0,Orthodox
134,Joanne-Calderwood,1985-12-23,66.0,125.0,65.0,Orthodox
135,Andrea-Lee,1989-02-11,66.0,125.0,69.0,Orthodox
136,Zubaira-Tukhugov,1991-01-15,68.0,145.0,68.0,Orthodox
137,Lerone-Murphy,1991-07-22,69.0,145.0,73.0,Orthodox
138,Sarah-Moras,1988-04-30,67.0,135.0,67.0,
139,Liana-Jojua,1995-03-22,64.0,135.0,62.0,Orthodox
140,Ottman-Azaitar,1990-02-20,68.0,155.0,71.0,Switch
141,Teemu-Packalen,1987-05-22,73.0,155.0,75.0,Orthodox
142,Belal-Muhammad,1988-07-09,71.0,170.0,72.0,Orthodox
143,Takashi-Sato,1990-06-09,70.0,170.0,73.0,Southpaw
144,Muslim-Salikhov,1984-06-09,71.0,170.0,70.0,Orthodox
145,Nordine-Taleb,1981-06-10,73.0,170.0,74.0,Orthodox
146,Omari-Akhmedov,1987-10-12,72.0,185.0,73.0,Orthodox
147,Zak-Cummings,1984-08-02,72.0,185.0,75.0,Southpaw
148,Don-Madge,1990-11-12,72.0,155.0,72.0,Southpaw
149,Fares-Ziam,1997-03-21,73.0,155.0,75.0,Orthodox
150,Weili-Zhang,1989-08-13,64.0,115.0,63.0,Switch
151,Jessica-Andrade,1991-09-25,61.0,115.0,62.0,Orthodox
152,Jingliang-Li,1988-03-20,72.0,170.0,71.0,Orthodox
153,Elizeu-Zaleski-dos-Santos,1986-12-11,71.0,170.0,73.0,Orthodox
154,Kai-Kara-France,1993-03-26,64.0,125.0,69.0,Orthodox
155,Mark-De-La-Rosa,1994-08-31,66.0,135.0,65.0,Orthodox
156,Kenan-Song,1990-03-10,72.0,170.0,71.0,Orthodox
157,Derrick-Krantz,1988-01-13,70.0,170.0,72.0,Orthodox
158,Mizuki-Inoue,1994-08-19,63.0,125.0,65.0,Orthodox
159,Yanan-Wu,1996-04-18,68.0,125.0,66.0,Orthodox
160,Anthony-Hernandez,1993-10-18,72.0,185.0,75.0,Orthodox
161,Jun-Yong-Park,1991-02-27,70.0,185.0,73.0,Orthodox
162,Su-Mudaerji,1996-01-20,68.0,135.0,72.0,Southpaw
163,Andre-Soukhamthath,1988-10-23,69.0,135.0,70.0,Orthodox
164,Da-Un-Jung,1993-12-07,76.0,205.0,78.0,Orthodox
165,Khadis-Ibragimov,1995-05-21,75.0,205.0,78.0,Orthodox
166,Damir-Ismagulov,1991-02-03,69.0,155.0,70.0,Orthodox
167,Thiago-Moises,1995-03-23,69.0,155.0,70.0,Orthodox
168,Heili-Alateng,1991-12-14,65.0,135.0,66.0,Orthodox
169,Danaa-Batgerel,1989-07-04,67.0,135.0,70.0,Orthodox
170,Karol-Rosa,1994-12-30,65.0,135.0,67.0,Orthodox
171,Lara-Procopio,1995-11-14,64.0,135.0,67.0,Orthodox
172,Stipe-Miocic,1982-08-19,76.0,240.0,80.0,Orthodox
173,Daniel-Cormier,1979-03-20,71.0,235.0,72.0,Orthodox
174,Nate-Diaz,1985-04-16,72.0,170.0,76.0,Southpaw
175,Anthony-Pettis,1987-01-27,70.0,170.0,72.0,Orthodox
176,Paulo-Costa,1991-04-21,73.0,185.0,72.0,
177,Yoel-Romero,1977-04-30,72.0,185.0,73.0,Southpaw
178,Sodiq-Yusuff,1993-05-19,69.0,145.0,71.0,Orthodox
179,Gabriel-Benitez,1988-06-15,68.0,145.0,71.0,Southpaw
180,Derek-Brunson,1984-01-04,73.0,185.0,77.0,Southpaw
181,Ian-Heinisch,1988-08-05,71.0,185.0,72.0,Orthodox
182,Khama-Worthy,1986-10-15,71.0,155.0,74.0,Orthodox
183,Devonte-Smith,1993-07-30,69.0,155.0,76.0,Orthodox
184,Cory-Sandhagen,1992-04-20,71.0,135.0,70.0,Switch
185,Raphael-Assuncao,1982-07-19,65.0,135.0,66.0,Orthodox
186,Drakkar-Klose,1988-03-09,69.0,155.0,70.0,Orthodox
187,Christos-Giagos,1990-01-23,70.0,155.0,71.0,Orthodox
188,Casey-Kenney,1991-03-20,67.0,135.0,68.0,Southpaw
189,Manny-Bermudez,1994-07-16,70.0,145.0,71.0,Orthodox
190,Hannah-Cifers,1992-06-26,61.0,115.0,62.0,Orthodox
191,Jodie-Esquibel,1986-05-07,61.0,115.0,64.0,Orthodox
192,Kyung-Ho-Kang,1987-09-09,69.0,135.0,73.0,Orthodox
193,Sabina-Mazo,1997-03-25,67.0,125.0,70.0,Orthodox
194,Shana-Dobson,1989-03-30,66.0,125.0,69.0,
195,Valentina-Shevchenko,1988-03-07,65.0,125.0,66.0,Southpaw
196,Liz-Carmouche,1984-02-19,66.0,125.0,66.0,Orthodox
197,Vicente-Luque,1991-11-27,71.0,170.0,75.0,Orthodox
198,Mike-Perry,1991-09-15,70.0,170.0,71.0,Orthodox
199,Eduardo-Garagorri,1989-05-28,69.0,145.0,70.0,Orthodox
200,Humberto-Bandenay,1994-09-04,71.0,145.0,71.0,Southpaw
201,Volkan-Oezdemir,1989-09-19,74.0,205.0,75.0,Orthodox
202,Ilir-Latifi,1983-07-28,70.0,205.0,73.0,Orthodox
203,Rodolfo-Vieira,1989-09-25,72.0,185.0,73.0,Orthodox
204,Oskar-Piechota,1990-01-24,72.0,185.0,76.0,Southpaw
205,Enrique-Barzola,1989-04-28,67.0,145.0,70.0,
206,Bobby-Moffett,1990-06-01,70.0,145.0,73.0,Orthodox
207,Aleksei-Kunchenko,1984-05-02,68.0,170.0,70.0,Orthodox
208,Ciryl-Gane,1990-04-12,76.0,245.0,81.0,Orthodox
209,Raphael-Pessoa,1989-03-09,75.0,262.0,78.0,Orthodox
210,Marina-Rodriguez,1987-04-29,66.0,115.0,65.0,Orthodox
211,Tecia-Torres,1989-08-16,61.0,115.0,60.0,Orthodox
212,Rogerio-Bontorin,1992-04-25,65.0,125.0,67.0,Orthodox
213,Raulian-Paiva,1995-10-17,68.0,125.0,69.0,Orthodox
214,Chris-Gutierrez,1991-04-22,69.0,135.0,67.0,Orthodox
215,Geraldo-de-Freitas,1991-09-30,67.0,135.0,72.0,Orthodox
216,Alex-Da-Silva,1996-02-04,68.0,155.0,73.0,Orthodox
217,Kazula-Vargas,1985-08-15,68.0,155.0,71.0,Southpaw
218,Veronica-Macedo,1995-10-30,64.0,125.0,64.0,Southpaw
219,Polyana-Viana,1992-06-14,65.0,115.0,67.0,Orthodox
220,Colby-Covington,1988-02-22,71.0,170.0,72.0,Orthodox
221,Robbie-Lawler,1982-03-20,71.0,170.0,74.0,Southpaw
222,Jim-Miller,1983-08-30,68.0,155.0,71.0,Southpaw
223,Clay-Guida,1981-12-08,67.0,155.0,70.0,Orthodox
224,Nasrat-Haqparast,1995-08-22,70.0,155.0,72.0,Southpaw
225,Joaquim-Silva,1989-02-05,68.0,155.0,69.0,Southpaw
226,Trevin-Giles,1992-08-06,72.0,185.0,74.0,Orthodox
227,Scott-Holtzman,1983-09-30,69.0,155.0,69.0,Orthodox
228,Dong-Hyun-Ma,1988-09-09,71.0,155.0,70.0,Orthodox
229,Kennedy-Nzechukwu,1992-06-13,77.0,205.0,83.0,Southpaw
230,Darko-Stosic,1992-02-09,72.0,205.0,76.0,Orthodox
231,Mickey-Gall,1992-01-22,74.0,170.0,74.0,Switch
232,Salim-Touahri,1989-09-28,70.0,170.0,72.0,Orthodox
233,Antonina-Shevchenko,1984-11-20,68.0,125.0,67.0,Southpaw
234,Lucie-Pudilova,1994-06-13,68.0,125.0,67.0,Orthodox
235,Matt-Schnell,1990-01-15,68.0,125.0,70.0,Orthodox
236,Jordan-Espinosa,1989-11-08,66.0,125.0,69.0,Orthodox
237,Lauren-Murphy,1983-07-27,65.0,125.0,67.0,Orthodox
238,Mara-Romero-Borella,1986-06-03,66.0,125.0,69.0,Orthodox
239,Claudio-Silva,1982-09-06,71.0,170.0,71.0,Southpaw
240,Cole-Williams,1983-12-15,72.0,170.0,73.0,Orthodox
241,Miranda-Granger,1992-04-13,67.0,125.0,68.0,Orthodox
242,Hannah-Goldy,1992-05-18,64.0,125.0,61.0,Orthodox
243,Max-Holloway,1991-12-04,71.0,145.0,69.0,Orthodox
244,Frankie-Edgar,1981-10-16,66.0,145.0,68.0,Orthodox
245,Cris-Cyborg,1985-07-09,68.0,145.0,68.0,Orthodox
246,Felicia-Spencer,1990-11-29,66.0,145.0,68.0,Orthodox
247,Geoff-Neal,1990-08-28,71.0,170.0,75.0,Southpaw
248,Arman-Tsarukyan,1996-10-11,67.0,155.0,72.0,Orthodox
249,Olivier-Aubin-Mercier,1989-02-23,69.0,155.0,70.0,Southpaw
250,Krzysztof-Jotko,1989-08-19,73.0,185.0,77.0,Southpaw
251,Marc-Andre-Barriault,1990-02-18,73.0,185.0,74.0,Orthodox
252,Viviane-Araujo,1986-11-21,64.0,125.0,68.0,Orthodox
253,Alexis-Davis,1984-10-04,66.0,125.0,68.0,Orthodox
254,Hakeem-Dawodu,1991-07-02,68.0,145.0,73.0,Orthodox
255,Yoshinori-Horie,1995-05-10,68.0,145.0,70.0,Orthodox
256,Gavin-Tucker,1986-06-17,66.0,145.0,66.0,Southpaw
257,SeungWoo-Choi,1992-11-03,72.0,145.0,74.0,Orthodox
258,Alexandre-Pantoja,1990-04-16,65.0,125.0,67.0,Orthodox
259,Gillian-Robertson,1995-05-17,65.0,125.0,63.0,
260,Sarah-Frota,1987-04-14,66.0,125.0,69.0,Southpaw
261,Erik-Koch,1988-10-04,70.0,170.0,71.0,Southpaw
262,Kyle-Stewart,1989-01-31,72.0,170.0,76.0,Orthodox
263,Leon-Edwards,1991-08-25,74.0,170.0,74.0,Southpaw
264,Rafael-Dos-Anjos,1984-10-26,68.0,170.0,70.0,Southpaw
265,Walt-Harris,1983-06-10,77.0,250.0,77.0,Southpaw
266,Aleksei-Oleinik,1977-06-20,74.0,240.0,80.0,Orthodox
267,Greg-Hardy,1988-07-28,77.0,265.0,80.0,Orthodox
268,Juan-Adams,1992-01-16,77.0,265.0,80.0,Orthodox
269,Alexander-Hernandez,1992-10-01,69.0,155.0,72.0,Orthodox
270,Francisco-Trinaldo,1978-08-24,69.0,155.0,70.0,Southpaw
271,Andrei-Arlovski,1979-02-04,75.0,240.0,77.0,Orthodox
272,Ben-Rothwell,1981-10-17,76.0,265.0,78.0,Orthodox
273,Alex-Caceres,1988-06-20,70.0,145.0,73.0,Southpaw
274,Raquel-Pennington,1988-09-05,67.0,135.0,67.0,Orthodox
275,Klidson-Abreu,1992-12-24,72.0,205.0,74.0,Orthodox
276,Sam-Alvey,1986-05-06,74.0,205.0,75.0,Southpaw
277,Jennifer-Maia,1988-10-06,64.0,125.0,64.0,Orthodox
278,Roxanne-Modafferi,1982-09-24,67.0,125.0,69.0,
279,Ray-Borg,1993-08-04,64.0,135.0,63.0,Orthodox
280,Gabriel-Silva,1994-08-26,66.0,135.0,71.0,Orthodox
281,Mario-Bautista,1993-07-01,69.0,135.0,69.0,Switch
282,Jinsoo-Son,1993-04-01,66.0,135.0,69.0,Orthodox
283,Felipe-Colares,1994-03-31,68.0,135.0,69.0,Orthodox
284,Domingo-Pilarte,1990-01-05,72.0,135.0,73.0,Southpaw
285,Germaine-de-Randamie,1984-04-24,69.0,135.0,71.0,Orthodox
286,Aspen-Ladd,1995-03-01,66.0,135.0,66.0,Orthodox
287,Urijah-Faber,1979-05-14,66.0,135.0,67.0,Orthodox
288,Ricky-Simon,1992-08-31,66.0,135.0,69.0,Orthodox
289,Josh-Emmett,1985-03-04,66.0,145.0,70.0,Orthodox
290,Mirsad-Bektic,1991-02-16,68.0,145.0,70.0,Orthodox
291,Karl-Roberson,1990-10-04,73.0,185.0,74.0,Southpaw
292,Wellington-Turman,1996-07-22,72.0,185.0,72.0,Orthodox
293,Cezar-Ferreira,1985-02-15,73.0,185.0,78.0,Southpaw
294,Mike-Rodriguez,1988-11-28,76.0,205.0,82.0,Southpaw
295,John-Allan,1993-02-22,75.0,205.0,75.0,Orthodox
296,Andre-Fili,1990-06-25,71.0,145.0,74.0,Orthodox
297,Sheymon-Moraes,1990-10-11,68.0,145.0,72.0,Orthodox
298,Julianna-Pena,1989-08-19,66.0,135.0,69.0,
299,Nicco-Montano,1988-12-16,65.0,135.0,65.0,Southpaw
300,Ryan-Hall,1985-02-22,70.0,145.0,70.0,
301,Darren-Elkins,1984-05-16,70.0,145.0,71.0,Orthodox
302,Jonathan-Martinez,1994-04-20,68.0,135.0,70.0,Southpaw
303,Liu-Pingyuan,1993-02-13,66.0,135.0,72.0,Orthodox
304,Brianna-Van-Buren,1993-08-04,60.0,115.0,62.0,Southpaw
305,Livinha-Souza,1991-03-11,63.0,115.0,63.0,Orthodox
306,Benito-Lopez,1994-04-06,70.0,135.0,73.0,Switch
307,Vince-Morales,1990-11-12,67.0,135.0,70.0,Orthodox
308,Jon-Jones,1987-07-19,76.0,205.0,84.0,Orthodox
309,Thiago-Santos,1984-01-07,74.0,205.0,76.0,Orthodox
310,Amanda-Nunes,1988-05-30,68.0,135.0,69.0,Orthodox
311,Holly-Holm,1981-10-17,68.0,135.0,69.0,Southpaw
312,Jorge-Masvidal,1984-11-12,71.0,170.0,74.0,Orthodox
313,Ben-Askren,1984-07-18,71.0,170.0,73.0,Orthodox
314,Jan-Blachowicz,1983-02-24,74.0,205.0,78.0,Orthodox
315,Luke-Rockhold,1984-10-17,75.0,205.0,77.0,Southpaw
316,Michael-Chiesa,1987-12-07,73.0,170.0,75.0,Southpaw
317,Diego-Sanchez,1981-12-31,70.0,170.0,72.0,Southpaw
318,Arnold-Allen,1994-01-22,68.0,145.0,70.0,Southpaw
319,Gilbert-Melendez,1982-04-12,69.0,145.0,73.0,Orthodox
320,Claudia-Gadelha,1988-12-07,64.0,115.0,63.0,Orthodox
321,Randa-Markos,1985-08-10,64.0,115.0,63.0,Orthodox
322,Song-Yadong,1997-12-02,68.0,135.0,67.0,Orthodox
323,Alejandro-Perez,1989-09-02,66.0,135.0,67.0,Orthodox
324,Edmen-Shahbazyan,1997-11-20,74.0,185.0,74.0,Orthodox
325,Jack-Marshman,1989-12-19,72.0,185.0,73.0,Orthodox
326,Chance-Rencountre,1986-12-31,74.0,170.0,75.0,Southpaw
327,Julia-Avila,1988-05-11,67.0,135.0,68.0,Orthodox
328,Pannie-Kianzad,1991-12-08,67.0,135.0,66.0,
329,Francis-Ngannou,1986-09-05,76.0,250.0,83.0,Orthodox
330,Junior-Dos-Santos,1984-01-30,76.0,238.0,77.0,Orthodox
331,Joseph-Benavidez,1984-07-31,64.0,125.0,65.0,Southpaw
332,Jussier-Formiga,1985-04-14,65.0,125.0,67.0,Orthodox
333,Demian-Maia,1977-11-06,73.0,170.0,72.0,Southpaw
334,Anthony-Rocco-Martin,1989-12-11,72.0,170.0,73.0,Orthodox
335,Vinc-Pichel,1982-11-23,70.0,155.0,72.0,Orthodox
336,Roosevelt-Roberts,1994-02-11,73.0,155.0,74.0,Orthodox
337,Drew-Dober,1988-10-19,68.0,155.0,70.0,Southpaw
338,Alonzo-Menifield,1987-10-18,72.0,205.0,76.0,Orthodox
339,Ricardo-Ramos,1995-08-01,66.0,135.0,69.0,Orthodox
340,Journey-Newson,1989-03-07,65.0,135.0,67.0,Orthodox
341,Jared-Gordon,1988-09-06,69.0,155.0,68.0,Orthodox
342,Dan-Moret,1986-11-21,72.0,155.0,73.0,Southpaw
343,Dalcha-Lungiambula,1987-07-31,68.0,205.0,76.0,Orthodox
344,Dequan-Townsend,1986-05-11,75.0,205.0,79.0,Orthodox
345,Emily-Whitmire,1991-05-24,65.0,115.0,63.0,
346,Maurice-Greene,1986-07-05,79.0,258.0,80.0,
347,Junior-Albini,1991-03-15,75.0,264.0,74.0,Orthodox
348,Chan-Sung-Jung,1987-03-17,67.0,145.0,72.0,Orthodox
349,Renato-Moicano,1989-05-21,71.0,145.0,72.0,Orthodox
350,Randy-Brown,1990-07-08,75.0,170.0,78.0,Orthodox
351,Bryan-Barberena,1989-05-03,72.0,170.0,72.0,Southpaw
352,Anderson-Dos-Santos,1985-07-24,65.0,135.0,70.0,Orthodox
353,Montana-De-La-Rosa,1995-02-14,67.0,125.0,68.0,
354,Kevin-Holland,1992-11-05,75.0,185.0,81.0,Orthodox
355,Dan-Ige,1991-08-06,67.0,145.0,71.0,Orthodox
356,Kevin-Aguilar,1988-09-07,67.0,145.0,73.0,Orthodox
357,Ashley-Yoder,1987-10-20,67.0,115.0,69.0,Southpaw
358,Syuri-Kondo,1989-02-08,64.0,115.0,66.0,Orthodox
359,Matt-Wiman,1983-09-19,70.0,155.0,68.0,Orthodox
360,Jairzinho-Rozenstruik,1988-03-17,76.0,242.0,78.0,Orthodox
361,Allen-Crowder,1989-11-08,75.0,245.0,76.0,Orthodox
362,Molly-McCann,1990-05-04,64.0,125.0,62.0,Orthodox
363,Ariane-Lipski,1994-01-26,63.0,125.0,67.0,Orthodox
364,Deron-Winn,1989-06-13,66.0,185.0,70.0,Orthodox
365,Eric-Spicely,1986-09-29,73.0,185.0,73.0,Orthodox
366,Henry-Cejudo,1987-02-09,64.0,135.0,64.0,Orthodox
367,Marlon-Moraes,1988-04-26,66.0,135.0,67.0,Orthodox
368,Jessica-Eye,1986-07-27,66.0,125.0,66.0,Orthodox
369,Tony-Ferguson,1984-02-12,71.0,155.0,76.0,Orthodox
370,Petr-Yan,1993-02-11,67.0,135.0,67.0,Switch
371,Jimmie-Rivera,1989-06-29,64.0,135.0,68.0,Orthodox
372,Blagoy-Ivanov,1986-10-09,71.0,250.0,73.0,Southpaw
373,Tatiana-Suarez,1990-12-19,65.0,115.0,66.0,
374,Nina-Ansaroff,1985-12-03,65.0,115.0,64.0,Orthodox
375,Aljamain-Sterling,1989-07-31,67.0,135.0,71.0,Orthodox
376,Pedro-Munhoz,1986-09-07,66.0,135.0,65.0,Orthodox
377,Karolina-Kowalkiewicz,1985-10-15,63.0,115.0,64.0,Orthodox
378,Calvin-Kattar,1988-03-26,71.0,145.0,72.0,Orthodox
