,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Yan Cabral Zak Cummings,0  0,23 of 38  28 of 83,60%  33%,44 of 59  50 of 108,1 of 9  3 of 3,11%  100%,2  1,4  3,1  1,23 of 38  28 of 83,21 of 36  17 of 69,0 of 0  5 of 7,2 of 2  6 of 7,8 of 23  12 of 53,0 of 0  3 of 5,15 of 15  13 of 25
0,Eddie Wineland Johnny Eduardo,0  1,6 of 56  11 of 20,10%  55%,6 of 56  11 of 20,0 of 0  0 of 3,0%  0%,0  0,0  0,0  0,6 of 56  11 of 20,3 of 53  3 of 11,1 of 1  1 of 1,2 of 2  7 of 8,6 of 56  10 of 19,0 of 0  1 of 1,0 of 0  0 of 0
0,Manvel Gamburyan Nik Lentz,0  0,28 of 52  52 of 99,53%  52%,60 of 86  90 of 141,1 of 2  4 of 16,50%  25%,1  0,0  1,1  0,28 of 52  52 of 99,20 of 41  23 of 65,5 of 8  19 of 23,3 of 3  10 of 11,10 of 28  20 of 55,18 of 22  25 of 34,0 of 2  7 of 10
0,Justin Salas Ben Wall,1  0,20 of 26  4 of 14,76%  28%,22 of 28  5 of 15,0 of 6  0 of 0,0%  0%,0  0,0  0,0  0,20 of 26  4 of 14,10 of 16  2 of 11,6 of 6  2 of 3,4 of 4  0 of 0,7 of 12  1 of 11,7 of 8  3 of 3,6 of 6  0 of 0
0,Anthony Lapsley Albert Tumenov,0  2,2 of 10  6 of 21,20%  28%,2 of 10  6 of 21,0 of 5  0 of 0,0%  0%,0  0,0  0,0  0,2 of 10  6 of 21,1 of 7  6 of 21,1 of 3  0 of 0,0 of 0  0 of 0,2 of 10  5 of 18,0 of 0  1 of 3,0 of 0  0 of 0
0,Jon Jones Glover Teixeira,0  0,138 of 236  53 of 192,58%  27%,158 of 256  65 of 204,3 of 6  0 of 5,50%  0%,2  0,0  0,0  0,138 of 236  53 of 192,88 of 179  34 of 154,25 of 28  19 of 38,25 of 29  0 of 0,99 of 182  30 of 135,37 of 49  23 of 57,2 of 5  0 of 0
0,Phil Davis Anthony Johnson,0  0,21 of 127  45 of 132,16%  34%,27 of 133  47 of 134,0 of 8  0 of 1,0%  0%,0  0,0  0,0  0,21 of 127  45 of 132,9 of 95  31 of 113,6 of 24  6 of 11,6 of 8  8 of 8,16 of 121  39 of 121,3 of 4  3 of 6,2 of 2  3 of 5
0,Luke Rockhold Tim Boetsch,0  0,4 of 4  1 of 2,100%  50%,9 of 9  1 of 2,0 of 0  0 of 1,0%  0%,2  0,0  0,0  0,4 of 4  1 of 2,0 of 0  0 of 0,4 of 4  0 of 1,0 of 0  1 of 1,1 of 1  1 of 2,0 of 0  0 of 0,3 of 3  0 of 0
0,Jim Miller Yancy Medeiros,0  0,5 of 19  9 of 27,26%  33%,6 of 20  9 of 27,0 of 1  0 of 0,0%  0%,1  0,0  0,0  0,5 of 19  9 of 27,2 of 14  7 of 19,1 of 2  2 of 7,2 of 3  0 of 1,4 of 17  8 of 26,1 of 2  1 of 1,0 of 0  0 of 0
0,Max Holloway Andre Fili,0  0,47 of 149  44 of 139,31%  31%,57 of 161  46 of 141,0 of 0  3 of 12,0%  25%,2  0,0  0,0  0,47 of 149  44 of 139,31 of 122  18 of 99,15 of 24  9 of 21,1 of 3  17 of 19,30 of 121  40 of 129,17 of 28  4 of 10,0 of 0  0 of 0
0,Joseph Benavidez Tim Elliott,0  0,9 of 23  16 of 21,39%  76%,14 of 28  27 of 35,0 of 0  3 of 3,0%  100%,1  0,3  0,1  0,9 of 23  16 of 21,4 of 16  10 of 15,4 of 6  3 of 3,1 of 1  3 of 3,9 of 22  13 of 17,0 of 1  3 of 4,0 of 0  0 of 0
0,Takanori Gomi Isaac Vallie-Flagg,0  0,130 of 240  107 of 217,54%  49%,153 of 263  211 of 322,0 of 0  1 of 2,0%  50%,0  0,2  0,1  0,130 of 240  107 of 217,88 of 185  61 of 161,34 of 45  31 of 39,8 of 10  15 of 17,119 of 229  96 of 204,11 of 11  8 of 10,0 of 0  3 of 3
0,Jessamyn Duke Bethe Correia,0  0,54 of 130  91 of 186,41%  48%,70 of 148  118 of 216,1 of 6  0 of 0,16%  0%,0  0,0  1,0  2,54 of 130  91 of 186,36 of 108  50 of 128,16 of 20  14 of 25,2 of 2  27 of 33,43 of 116  88 of 182,11 of 14  3 of 4,0 of 0  0 of 0
0,Danny Castillo Charlie Brenneman,1  0,16 of 21  13 of 21,76%  61%,20 of 25  35 of 44,0 of 3  2 of 4,0%  50%,0  0,1  2,1  0,16 of 21  13 of 21,3 of 6  3 of 11,3 of 4  8 of 8,10 of 11  2 of 2,8 of 13  5 of 12,8 of 8  1 of 2,0 of 0  7 of 7
0,Chris Beal Patrick Williams,1  0,19 of 49  14 of 35,38%  40%,19 of 50  15 of 37,0 of 0  2 of 3,0%  66%,0  0,0  1,0  0,19 of 49  14 of 35,16 of 45  6 of 20,2 of 3  2 of 6,1 of 1  6 of 9,8 of 30  11 of 28,11 of 19  3 of 6,0 of 0  0 of 1
0,Fabricio Werdum Travis Browne,0  0,121 of 196  60 of 156,61%  38%,171 of 251  77 of 173,2 of 6  0 of 1,33%  0%,0  0,3  0,0  0,121 of 196  60 of 156,82 of 154  36 of 124,21 of 24  17 of 22,18 of 18  7 of 10,113 of 186  48 of 143,6 of 8  3 of 4,2 of 2  9 of 9
0,Miesha Tate Liz Carmouche,0  0,27 of 57  18 of 34,47%  52%,82 of 124  75 of 95,1 of 7  5 of 7,14%  71%,2  0,3  1,0  0,27 of 57  18 of 34,20 of 41  4 of 16,2 of 9  3 of 5,5 of 7  11 of 13,9 of 36  7 of 23,3 of 6  7 of 7,15 of 15  4 of 4
0,Donald Cerrone Edson Barboza,1  0,11 of 20  28 of 54,55%  51%,11 of 20  28 of 54,0 of 1  0 of 0,0%  0%,2  0,1  0,0  0,11 of 20  28 of 54,6 of 15  17 of 38,2 of 2  7 of 9,3 of 3  4 of 7,11 of 20  28 of 54,0 of 0  0 of 0,0 of 0  0 of 0
0,Brad Tavares Yoel Romero,0  0,21 of 70  31 of 48,30%  64%,35 of 87  63 of 81,0 of 3  7 of 12,0%  58%,0  0,0  4,0  0,21 of 70  31 of 48,9 of 52  14 of 27,3 of 8  6 of 7,9 of 10  11 of 14,16 of 63  20 of 34,5 of 7  10 of 13,0 of 0  1 of 1
0,Rafael Dos Anjos Khabib Nurmagomedov,0  0,20 of 56  36 of 97,35%  37%,40 of 76  72 of 135,0 of 1  6 of 12,0%  50%,0  0,0  6,0  0,20 of 56  36 of 97,11 of 39  24 of 83,7 of 14  6 of 8,2 of 3  6 of 6,18 of 52  14 of 72,1 of 3  4 of 4,1 of 1  18 of 21
0,Thiago Alves Seth Baczynski,0  0,116 of 236  90 of 335,49%  26%,120 of 240  91 of 336,0 of 1  0 of 8,0%  0%,0  0,0  0,0  0,116 of 236  90 of 335,45 of 156  55 of 283,19 of 22  21 of 36,52 of 58  14 of 16,106 of 220  87 of 328,10 of 16  3 of 7,0 of 0  0 of 0
0,Jorge Masvidal Pat Healy,0  0,69 of 95  32 of 100,72%  32%,105 of 132  84 of 155,1 of 1  2 of 14,100%  14%,0  0,2  0,0  0,69 of 95  32 of 100,45 of 68  7 of 65,13 of 15  15 of 25,11 of 12  10 of 10,50 of 73  20 of 82,18 of 21  12 of 18,1 of 1  0 of 0
0,Estevan Payan Alex White,0  1,10 of 23  20 of 30,43%  66%,10 of 23  20 of 30,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,10 of 23  20 of 30,5 of 17  12 of 22,4 of 5  8 of 8,1 of 1  0 of 0,10 of 23  14 of 24,0 of 0  0 of 0,0 of 0  6 of 6
0,Caio Magalhaes Luke Zachrich,1  0,16 of 26  3 of 11,61%  27%,18 of 28  3 of 11,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,16 of 26  3 of 11,13 of 22  1 of 8,3 of 4  0 of 0,0 of 0  2 of 3,7 of 15  3 of 10,4 of 6  0 of 1,5 of 5  0 of 0
0,Jordan Mein Hernani Perpetuo,0  0,46 of 84  21 of 93,54%  22%,62 of 102  26 of 99,4 of 4  0 of 1,100%  0%,0  1,3  1,0  0,46 of 84  21 of 93,25 of 61  10 of 68,10 of 12  6 of 17,11 of 11  5 of 8,37 of 72  20 of 91,1 of 1  0 of 0,8 of 11  1 of 2
0,Dustin Ortiz Ray Borg,0  0,46 of 80  12 of 27,57%  44%,107 of 144  21 of 37,2 of 4  5 of 8,50%  62%,0  2,1  1,1  1,46 of 80  12 of 27,14 of 43  9 of 21,28 of 33  3 of 5,4 of 4  0 of 1,12 of 39  5 of 14,22 of 27  2 of 7,12 of 14  5 of 6
0,Mirsad Bektic Chas Skelly,0  0,27 of 90  19 of 85,30%  22%,80 of 148  32 of 101,2 of 4  0 of 4,50%  0%,0  0,3  1,1  1,27 of 90  19 of 85,25 of 85  17 of 83,2 of 5  1 of 1,0 of 0  1 of 1,18 of 77  10 of 73,2 of 4  6 of 9,7 of 9  3 of 3
0,Derrick Lewis Jack May,0  0,22 of 27  5 of 6,81%  83%,26 of 31  23 of 24,1 of 1  1 of 3,100%  33%,0  0,2  1,0  1,22 of 27  5 of 6,22 of 27  1 of 2,0 of 0  2 of 2,0 of 0  2 of 2,0 of 0  2 of 3,2 of 2  0 of 0,20 of 25  3 of 3
0,Michael Bisping Tim Kennedy,0  0,40 of 137  51 of 106,29%  48%,53 of 151  76 of 141,0 of 0  5 of 11,0%  45%,0  0,0  11,0  0,40 of 137  51 of 106,35 of 128  32 of 78,4 of 8  12 of 19,1 of 1  7 of 9,38 of 135  36 of 82,2 of 2  6 of 7,0 of 0  9 of 17
0,Patrick Cote Kyle Noke,0  0,33 of 61  50 of 85,54%  58%,127 of 162  67 of 103,3 of 9  0 of 0,33%  0%,0  0,2  0,0  0,33 of 61  50 of 85,22 of 45  20 of 42,5 of 9  12 of 23,6 of 7  18 of 20,6 of 23  33 of 62,5 of 12  8 of 13,22 of 26  9 of 10
0,Sheldon Westcott Elias Theodorou,0  0,13 of 31  73 of 103,41%  70%,18 of 37  98 of 132,2 of 4  3 of 3,50%  100%,0  0,1  3,0  0,13 of 31  73 of 103,9 of 23  57 of 82,3 of 7  10 of 15,1 of 1  6 of 6,7 of 22  21 of 38,6 of 9  11 of 13,0 of 0  41 of 52
0,Chad Laprise Olivier Aubin-Mercier,0  0,71 of 174  45 of 116,40%  38%,72 of 175  46 of 117,0 of 0  2 of 9,0%  22%,0  0,0  0,0  0,71 of 174  45 of 116,30 of 127  30 of 96,18 of 23  13 of 18,23 of 24  2 of 2,64 of 161  41 of 111,6 of 12  4 of 5,1 of 1  0 of 0
0,Dustin Poirier Akira Corassani,1  0,45 of 89  24 of 66,50%  36%,46 of 90  24 of 66,0 of 1  0 of 1,0%  0%,1  0,0  0,0  0,45 of 89  24 of 66,37 of 78  19 of 57,8 of 9  5 of 9,0 of 2  0 of 0,31 of 73  21 of 61,12 of 14  3 of 5,2 of 2  0 of 0
0,Sam Stout KJ Noons,0  1,5 of 8  7 of 11,62%  63%,5 of 8  7 of 11,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,5 of 8  7 of 11,1 of 3  3 of 4,0 of 1  0 of 0,4 of 4  4 of 7,5 of 8  5 of 8,0 of 0  0 of 0,0 of 0  2 of 3
0,Sarah Kaufman Leslie Smith,0  0,202 of 370  79 of 243,54%  32%,232 of 403  100 of 265,1 of 1  0 of 5,100%  0%,0  0,1  0,0  0,202 of 370  79 of 243,106 of 259  50 of 206,48 of 61  9 of 17,48 of 50  20 of 20,112 of 259  53 of 202,84 of 105  26 of 41,6 of 6  0 of 0
0,Ryan Jimmo Sean O'Connell,1  0,20 of 32  15 of 25,62%  60%,29 of 44  41 of 56,1 of 1  0 of 1,100%  0%,0  0,0  0,0  0,20 of 32  15 of 25,12 of 22  6 of 13,8 of 10  9 of 11,0 of 0  0 of 1,7 of 16  5 of 14,10 of 13  10 of 11,3 of 3  0 of 0
0,George Roop Dustin Kimura,0  0,53 of 109  7 of 31,48%  22%,74 of 135  19 of 45,2 of 2  3 of 6,100%  50%,0  0,2  2,0  0,53 of 109  7 of 31,43 of 95  3 of 25,9 of 12  4 of 6,1 of 2  0 of 0,15 of 51  2 of 22,3 of 10  3 of 5,35 of 48  2 of 4
0,Mark Bocek Mike de la Torre,0  0,70 of 171  57 of 177,40%  32%,108 of 209  144 of 270,3 of 13  1 of 2,23%  50%,0  0,1  0,0  0,70 of 171  57 of 177,45 of 136  43 of 159,17 of 25  13 of 17,8 of 10  1 of 1,31 of 121  38 of 157,39 of 50  18 of 19,0 of 0  1 of 1
0,Nordine Taleb Vik Grujic,0  0,48 of 75  4 of 32,64%  12%,131 of 161  44 of 72,4 of 4  0 of 1,100%  0%,0  0,3  0,0  0,48 of 75  4 of 32,24 of 43  3 of 27,22 of 26  1 of 5,2 of 6  0 of 0,9 of 26  2 of 29,9 of 9  2 of 3,30 of 40  0 of 0
0,Richard Walsh Chris Indich,0  0,71 of 122  12 of 49,58%  24%,153 of 212  27 of 65,5 of 9  0 of 1,55%  0%,0  2,2  0,0  0,71 of 122  12 of 49,50 of 93  3 of 32,15 of 20  1 of 5,6 of 9  8 of 12,16 of 52  9 of 39,39 of 53  3 of 10,16 of 17  0 of 0
0,Mitch Gagnon Tim Gorman,0  0,47 of 98  15 of 69,47%  21%,93 of 144  50 of 106,2 of 3  0 of 10,66%  0%,5  0,0  1,0  0,47 of 98  15 of 69,22 of 70  12 of 64,19 of 20  1 of 1,6 of 8  2 of 4,27 of 72  8 of 53,11 of 14  7 of 13,9 of 12  0 of 3
0,Minotauro Nogueira Roy Nelson,0  2,12 of 37  19 of 35,32%  54%,12 of 37  20 of 36,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,12 of 37  19 of 35,12 of 36  18 of 33,0 of 1  1 of 2,0 of 0  0 of 0,12 of 37  18 of 34,0 of 0  0 of 0,0 of 0  1 of 1
0,Clay Guida Tatsuya Kawajiri,1  0,47 of 68  19 of 51,69%  37%,92 of 113  36 of 68,3 of 10  1 of 5,30%  20%,0  1,1  0,0  0,47 of 68  19 of 51,18 of 39  18 of 48,7 of 7  0 of 2,22 of 22  1 of 1,12 of 32  12 of 43,17 of 17  7 of 8,18 of 19  0 of 0
0,John Howard Ryan LaFlare,1  0,35 of 53  64 of 97,66%  65%,73 of 92  97 of 135,1 of 2  4 of 7,50%  57%,0  0,1  6,0  1,35 of 53  64 of 97,17 of 34  27 of 56,10 of 11  32 of 36,8 of 8  5 of 5,25 of 38  28 of 56,9 of 14  20 of 24,1 of 1  16 of 17
0,Ramsey Nijem Beneil Dariush,2  0,34 of 51  9 of 20,66%  45%,92 of 121  14 of 25,1 of 1  0 of 1,100%  0%,1  0,4  0,0  0,34 of 51  9 of 20,25 of 39  6 of 14,3 of 6  3 of 6,6 of 6  0 of 0,15 of 28  6 of 14,0 of 1  3 of 6,19 of 22  0 of 0
0,Jared Rosholt Daniel Omielanczuk,0  0,34 of 51  10 of 15,66%  66%,124 of 151  41 of 50,3 of 5  0 of 0,60%  0%,0  0,8  0,0  0,34 of 51  10 of 15,17 of 34  5 of 10,16 of 16  4 of 4,1 of 1  1 of 1,4 of 14  7 of 11,0 of 1  1 of 1,30 of 36  2 of 3
0,Thales Leites Trevor Smith,1  0,5 of 8  3 of 10,62%  30%,9 of 12  3 of 10,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,5 of 8  3 of 10,5 of 8  1 of 6,0 of 0  1 of 2,0 of 0  1 of 2,3 of 6  3 of 10,0 of 0  0 of 0,2 of 2  0 of 0
0,Alan Omer Jim Alers,0  1,58 of 101  36 of 93,57%  38%,69 of 112  97 of 163,1 of 3  2 of 5,33%  40%,0  0,1  0,0  0,58 of 101  36 of 93,33 of 70  20 of 70,10 of 15  5 of 9,15 of 16  11 of 14,26 of 58  14 of 57,22 of 27  12 of 22,10 of 16  10 of 14
0,Mauricio Rua Dan Henderson,2  1,48 of 96  23 of 60,50%  38%,79 of 128  32 of 70,1 of 2  0 of 2,50%  0%,0  0,2  0,0  0,48 of 96  23 of 60,31 of 74  16 of 51,4 of 7  3 of 4,13 of 15  4 of 5,31 of 71  14 of 46,4 of 5  5 of 10,13 of 20  4 of 4
0,Cezar Ferreira CB Dollaway,0  1,3 of 8  12 of 16,37%  75%,3 of 8  13 of 17,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,3 of 8  12 of 16,3 of 8  12 of 16,0 of 0  0 of 0,0 of 0  0 of 0,3 of 8  5 of 7,0 of 0  0 of 0,0 of 0  7 of 9
0,Fabio Maldonado Gian Villante,0  0,132 of 217  33 of 92,60%  35%,150 of 237  46 of 108,0 of 0  3 of 12,0%  25%,0  0,0  3,0  0,132 of 217  33 of 92,100 of 168  13 of 68,31 of 48  1 of 5,1 of 1  19 of 19,125 of 207  14 of 64,6 of 8  7 of 12,1 of 2  12 of 16
0,Michel Prazeres Mairbek Taisumov,1  0,35 of 67  26 of 91,52%  28%,66 of 106  40 of 106,3 of 11  0 of 0,27%  0%,0  0,9  0,0  0,35 of 67  26 of 91,26 of 58  16 of 79,4 of 4  6 of 8,5 of 5  4 of 4,24 of 53  23 of 81,5 of 7  3 of 5,6 of 7  0 of 5
0,Rony Jason Steven Siler,1  0,3 of 8  11 of 22,37%  50%,3 of 8  11 of 22,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,3 of 8  11 of 22,3 of 8  5 of 12,0 of 0  2 of 4,0 of 0  4 of 6,3 of 8  10 of 21,0 of 0  0 of 0,0 of 0  1 of 1
0,Ronny Markes Thiago Santos,0  1,0 of 1  7 of 16,0%  43%,0 of 1  8 of 17,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,0 of 1  7 of 16,0 of 1  6 of 14,0 of 0  1 of 1,0 of 0  0 of 1,0 of 1  1 of 5,0 of 0  0 of 0,0 of 0  6 of 11
0,Jussier Formiga Scott Jorgensen,0  0,9 of 23  6 of 24,39%  25%,13 of 27  9 of 27,1 of 4  0 of 0,25%  0%,1  0,1  0,0  0,9 of 23  6 of 24,7 of 20  5 of 23,2 of 3  0 of 0,0 of 0  1 of 1,6 of 19  6 of 23,2 of 2  0 of 1,1 of 2  0 of 0
0,Thiago Perpetuo Kenny Robertson,0  0,0 of 1  9 of 14,0%  64%,1 of 2  17 of 22,1 of 1  1 of 1,100%  100%,0  1,0  2,0  0,0 of 1  9 of 14,0 of 1  8 of 13,0 of 0  0 of 0,0 of 0  1 of 1,0 of 1  3 of 4,0 of 0  0 of 0,0 of 0  6 of 10
0,Francimar Barroso Hans Stringer,0  0,36 of 67  44 of 77,53%  57%,76 of 114  98 of 135,3 of 8  1 of 8,37%  12%,0  0,0  1,0  0,36 of 67  44 of 77,11 of 35  21 of 51,13 of 18  5 of 7,12 of 14  18 of 19,21 of 44  20 of 48,9 of 13  16 of 17,6 of 10  8 of 12
0,Godofredo Pepey Noad Lahat,1  0,5 of 23  11 of 22,21%  50%,5 of 23  12 of 23,0 of 0  0 of 2,0%  0%,0  0,0  0,0  0,5 of 23  11 of 22,4 of 21  5 of 13,1 of 2  3 of 4,0 of 0  3 of 5,3 of 17  7 of 16,2 of 5  4 of 6,0 of 1  0 of 0
0,Johny Hendricks Robbie Lawler,0  0,158 of 397  150 of 331,39%  45%,186 of 426  162 of 343,2 of 10  0 of 0,20%  0%,0  0,0  0,0  0,158 of 397  150 of 331,111 of 343  141 of 320,6 of 9  5 of 6,41 of 45  4 of 5,138 of 369  146 of 321,18 of 26  4 of 10,2 of 2  0 of 0
0,Carlos Condit Tyron Woodley,0  1,13 of 43  14 of 29,30%  48%,52 of 84  34 of 49,0 of 0  3 of 3,0%  100%,1  0,0  0,0  0,13 of 43  14 of 29,6 of 32  10 of 23,3 of 5  3 of 4,4 of 6  1 of 2,10 of 39  8 of 20,3 of 4  6 of 9,0 of 0  0 of 0
0,Diego Sanchez Myles Jury,0  0,25 of 93  46 of 119,26%  38%,37 of 105  54 of 129,0 of 0  3 of 3,0%  100%,2  0,0  0,0  0,25 of 93  46 of 119,10 of 64  35 of 104,12 of 21  3 of 6,3 of 8  8 of 9,21 of 89  40 of 111,3 of 3  2 of 2,1 of 1  4 of 6
